id	sentence_1	sentence_2	similarity
122	পুরুষরা বাস্কেটবল খেলাটির পরে মারামারি করছিল।	পুরুষেরা বাস্কেটবলের একটি খেলা খেলছিল।	2.2
123	একটি বাচ্চা ক্লাসে কথা বলছে।	একটি মেয়ে ক্লাসে যাচ্ছে।	1.8
124	নারীরা ব্যক্তিগতভাবে কিছু  বিক্রি করার চেষ্টা করছে।	পুরুষেরা কিছু টাকা উপারজনের চেষ্টা করছেন।	1.2
125	আতশবাজি শুরুর জন্য লোকেরা অপেক্ষা করছে।	বৃষ্টি থামার জন্য তিনজন লোক অপেক্ষা করছে	1.2
126	একটি কুকুর শিংয়ের সাথে তিনটি ভেড়ারকে একত্রে তারিত করতে প্রস্তুত হচ্ছে।	একটি কুকুর এবং ভেড়া একসাথে দওরাচে।	2.2
127	মানুষরা বসে আছে মাতালদের টেবিলে যখন তা্রা হাসি এবং খুসি ছিল।	মানুষ বেঞ্চে বসে আছেন	2.0
128	একটি কুকুর গরু গুলোকে তাড়া করছে	একটি সাদা কুকুর গরু গুলোকে তাড়া করছে	4.0
129	একজন ফুটবল খেলোয়াড় প্রতিপক্ষের দলের একজন খেলোয়াড়কে মোকাবেলা করার চেষ্টা করেছে।	একটি ফুটবল খেলোয়াড় একটি কলাকব্জার চেষ্টা করেছে।	4.6
130	একটি পর্বত সড়কের পাশে তিনজন লোক একটি সুবারু বের করার জন্য খাল শুকাচ্ছে।	দুজন লোক একটি মাটির রাস্তা পাশে একটি যাত্রায় জন্য অপেক্ষা করছে	1.4
131	একজন মহিলা তার হাত উপরে করতে পারছে না কারণ তিনি ঘাড় থেকে নিচ প্রজন্ত পক্ষাঘাতগ্রস্ত 	একজন মহিলা সিঁড়িতে বসে আছেন কারন তিনি হোঁচট খেয়েছেন এবং তার গোড়ালি আঘাত পেয়েছেন।	0.8
132	মানুষেরা একটি রুমে জড়ো হয়েছে	লোকজনেরা একটি কক্ষে একত্রিত হয়েছে।	5.0
133	 সর্বোপরি নারীটি তার প্রাচীরের জন্য একটি ছবি আঁকলো।	একটি মহিলা তার প্রাচীর সাদা রঙ করছে।	2.6
134	পানিতে অ্যাসপিরিং যোগ করার কারণ এ উদ্ভিদ মারা যেতে পারে।	মানুষ পানির তল থেকে তেল সরিয়ে দিতে চেষ্টা করছে।	0.0
135	পাঁচটি শিশু একটি তাঁবুর সামনে দাঁড়িয়ে আছে।	মানুষ গুলো বাইরে একটি বাগানের সামনে বসে আছে।	0.6
136	মেহ্রুন রঙ্গের টি-শার্ট এর মহিলা তান ব্লেজার এর অন্য একটি মহিলার সাথে একটি কথোপকথনে জড়ায় ছিল।	 নীল পোষকের একটি মেয়ে এবং একটি বেগুনি পোষাকের  অন্য মেয়ে, উভয় হাসছে	1.2
137	বেসবল খেলোয়াড় পার্ক এ খেলা করছে ।	বাস্কেটবল খেলোয়াড় সহগৃহ  খেলা খেলছে।	1.6
138	তারা স্কুলে একটি কর্ম প্রদর্শনীর জন্য প্রস্তুতি নিচ্ছে।	 সবুজে দুই চিকিৎসা পেশাদার কিছু একটার খোঁজে আছে।	0.0
139	মহিলাটি হলুদ পরিধান করেছে।	মহিলাটি লাল পরিধান করেছে	2.8
140	কিছু শিশু হাসিমুখে  সমুদ্রের সূর্যাস্তের সামনে দাঁড়িয়ে আছে।	অন্ধকারে মানুষেরা হাঁটছে।	0.6
141	একটি মানুষ তার সাইকেলের উপর কর্মপ্রচেষ্টা করছেন।	একজন মানুষ তার মোটরসাইকেল দিয়ে হুইলিং করছেন।	3.2
142	দশজন মানুষ ATVs চালাচ্ছে।	চারজন মানুষ বাইক চালাচ্ছে	1.6
143	একটি মেঘলা দিনে দুই জেলে রাস্তার পাশে  তাদের বৃহৎ মাছ ধরার জালটি ছাঁটাই করার চেষ্টা করছে।	অনেক মানুষ সমুদ্র সৈকতে একটি মাছ ধরার জাল টেনে তুলছে।	3.0
144	একটি হলুদ পোশাক পরিহিত ব্যক্তি রাস্তাঘাটে কাজ করছেন।	একজন ব্যক্তি তার স্কেটবোর্ডে খুব ভাল করছে।	0.2
145	মহিলার বাদামী চুল ছিল ।	মহিলার ধূসর চুল আছে।	2.4
146	সাদা কালো ঢেউয়ের ছবি মহাসাগরের  তাড়া করছে ।	সমুদ্রের একটি ছোট কালো কুকুর পিছনে কিছু পাথর আছে	0.6
147	একজন মহিলা এবং তার মেয়ে মাইক্রোস্কোপর মধ্যে দিয়ে দেকছে।	একটি মেয়ে এবং একটি মহিলা উভয়ই একটি মাইক্রোস্কোপের মধ্যে দিয়ে দেকছে।	4.6
148	দুজন কর্মীরা দুপুরের খাবার  পাইপের পাশে বসে খাচ্ছে।	নির্মাণ শ্রমিকরা দুপুরের খাবার খাওয়ার জন্য বসে আছেন।	3.8
149	একটি ছেলে শহরের কেন্দ্রস্থলের  সিঁড়িরি উপর স্কেটবোর্ডের কৌসল করেছে।	একটি ছেলে রাস্তার পাশে দওরাছে।	0.6
150	মানুষের একটি দল মরুভূমিতে বসবাস করছে 	মরুভূমির মাঝখানে মানুষের একটি দল আছে।	4.0
151	দুইটি বাচ্চা সাঁতার কাটছে	ছয়টি বাচ্চা সাঁতার কাটতে যাচ্ছে।	2.8
152	তিনজন মানুষ একটি কুকুরকে হাঁটাছে।	তিনজন লোক একটি কুকুরকে হাঁটাছে।	4.8
153	বাহিরে রাস্তায় মানুষ আছে	মানুষরা রাস্তায় বেরিয়েছে	5.0
154	মানুষ তাদের নোংরা কাপড় পরিষ্কার করছে	মানুষ তাদের কাপড় পরিষ্কার করছে।	5.0
155	দুইজন নারী হারিয়ে গেছে এবং সাহায্যের জন্য ডাকছে।	দুইজন এশিয়ান পুরুষ তাদের ব্যবসার জন্য উপকরণ সংগ্রহ করছে এবং তাদের সন্তান্দের তাদের সঙ্গে আসাতে হয়েছে।	0.2
156	একজন মানুষ ঝরনার মধ্যে একটি পয়সা নিক্ষেপ করছে।	একটি ছোট ছেলে জলে একটি মানুষ নিক্ষেপ করছে।	0.6
157	বাচ্চারা বাদ্যযন্ত্র ধরে রেখেছে।	শিশুদের একটি দল গান গাচ্ছে এবং বাদ্যযন্ত্র বাজাছে।	3.4
158	দুই মেয়ে ডাক্তার হওয়ার খেলা তাদের বাড়ির ভিতরে খেলছে।	দুই মেয়ে তাদের বাবার সাথে হাঁটছে।	0.8
159	 পেপাররের নাম্বার লিখা টি-শার্ট পড়ে এক পুরুষদের ভিড় দওর প্রতিযোগিতায় দওরাছে।	শার্ট এর সম্মুখে নাম্বার লিখা অনেক পুরুষ ঘাসের মধ্যে দিয়ে মাঠের নিচে দওরাছে।	3.6
160	একদল মানুষ পুলিশের পোশাক পড়ে আছে গ্রেফতারের কর্মসূচি জন্য  ।	পুলিশ কর্মকর্তাদের একটি দল সুরক্ষা রক্ষক পড়েছে।	2.8
161	 পেটে জারণ প্রতিরোধ করার জন্য ফলগুলিকে লেবুর রস দিয়ে খাওয়া উচিত।	তিন কুকুর একে অপর এর ওপর গর্জন করছে।	0.0
162	একজন ডাক্তার একজন রোগীর কাছে ঔষধের পরামর্শ দেন।	একজন ডাক্তার একটি ঔষধের পরামর্শ দেন।	4.4
163	একটি মহিলা স্ননাঘরের মধ্যে আছে।	মহিলাটি স্ননাঘরের মধ্যে আছে।	4.6
164	দর্শকরা একটি রেলিগাড়ীর ছবি তুলছে।	মানুষের  একটি ভিড় গাড়ি প্রতিযোগিতা দেখছে ট্র্যাকের পাশ থেকে।	2.8
165	পুরুষ এবং মহিলা একটি পালঙ্ক এর উপর বিশ্রাম করছে	একটি পুরুষ এবং মহিলা পালঙ্ক উপর ঘুমিয়ে  আছে।	4.0
166	একটি মানুষ বিবাহের অনুষ্ঠানে্র চিত্র গ্রহনের পরিকল্পনা করছে	মহিলাটি একটি বিয়েতে যাচ্ছে	1.4
167	সবুজ জার্সি পড়া ছেলেটি ফুটবল দলে গোলরক্ষকের ভুমিকা পালন করে।	নীল দলটি সাদা দলের বিরুদ্ধে খেলা খেলছে	1.0
168	শিশুটির সাইকেল ভিজে গিয়েছিল।	সে সাইকেলটি দূরে রাখছে।	1.2
169	একটি সৈনিক কুকুরকে পদচারনা করাছে	একটি মানুষ কুকুরকে পদচারনা করাছে	3.2
170	একটি শার্টহীন মহিলা লতা কাটার যন্ত্র নিয়ন্ত্রন করছে।	একটি মেয়ে লতা কাটার যন্ত্র দিয়ে ঘাস কাটছে।	3.0
171	 মানুষরা জলের কাছাকাছি আছে	মানুষরা জলের কাছাকাছি আছে	5.0
172	দুজন কর্মকর্তা গাড়ি চালাচ্ছেন	দুই কর্মকর্তা ঘোড়া উপর।	2.2
173	বন্ধুরা একটি দালানের মধ্যে পায়চারি করছে	একজন লোক একাকী দোকানের রাস্তার পাশ দিয়ে হেঁটে যাছে	0.4
174	ভদ্রমহিলা উদাস দাখাছে কারন কেও তার  মালপত্র কিনচ্ছে না।	মহিলাটি জিনিস বিক্রি করছে	2.0
175	রোলারব্লেড চলছে।	দুটি গাড়ির ক্যামেরা দিকে যাচ্ছে। 	0.8
176	একজন বিধবার কাছে একজন বয়স্ক মানুষ আছে	এক ছেলে কিছু সিঁড়ির কাছাকাছি আছে।	0.4
177	একটি লোক এবং একটি মেয়ে পিছনে ব্যাকপ্যাক সঙ্গে নিয়ে পাহার চড়ছে।	দুই ছেলে তাদের একটি দীর্ঘ মেয়ে চলন্ত একটি স্বর্ণকেশী মেয়ে সঙ্গে একটি খেলনা নেভিগেশন অশ্বারোহণে হয়।	0.0
178	আবু ধাবিতে গোল্ডেন মার্কেট  জনগনের  বহিঃকেনাকাটা  একটি প্রধান এলাকায়।	এশিয়ান দেশের একটি ব্যস্ত শহর বর্গ	1.6
179	একটি গর্ভবতী মহিলা কষ্টে আছে	একটি মহিলার একটি শিশু আছে	1.6
180	পাখির একটি পাল বালুকাময় সৈকতের উপর বাতাসে ভেসে বারাছে।	পাখি গুলো একটি সৈকতের উপর উড়ছে।	3.8
181	মানুষ বাড়িতে যাচ্ছে	মানুষ অপেক্ষা করছে	1.6
182	ধর্মীয় লোকেরা বহিরঙ্গনে আনন্দ উপভোগ করছে।	একদল জনগন বহিরঙ্গনে আনন্দ উপভোগ করছে।	3.6
183	চশমা বা সাঁতার কাটার টুপি ছাড়া এক মেয়ে জলে আছে।	চশমা বা সাঁতার কাটার টুপি সঙ্গে এক মেয়ে জলে আছে.	3.0
184	একজন মানুষ বিদেশে স্টান্ট করছেন।	একটি সৈকতে একটি যুবক স্কেটবোর্ডের স্টান্ট সম্পাদন করছে।	2.8
185	একজন মানুষ একজন মহিলার সাথে হাসছে	একজন মানুষ এবং একজন মহিলা হাসছে	4.8
186	তিনি নৌকা চালাতে যাচ্ছে	মানুষ তার নৌকাটি পরিষ্কার করে নিচ্ছে জলে নামানোর জন্য।	1.2
187	দুইটি গরু একটি মাঠের মধ্যে আছে	দুটি ভেড়া একটি মাঠের মধ্যে আছে	2.4
188	একটি ভিজা শিশু গ্রীষ্ম উপভোগ করছে	একজন মহিলা গ্রীষ্মের আবহাওয়া উপভোগ করছে	1.8
189	ছাদে একটি মেয়ে আটকে পড়েছিল	দম্পতি বিছানার উপর ছিল।	0.2
190	চারটি স্নোবোর্ডার বন্ধ হয়ে যাচ্ছে এবং তা বায়ুতে হচ্ছে	দুই দৌড়বিদ একটি বাকে আসছে।	1.0
191	মেয়েটির গাড়ি চালনার অনুমতিপত্র আছে	একজন ব্যক্তির গাড়ি চালনার অনুমতিপত্র আছে	2.6
192	মোটরসাইকেলের লোকেরা একটি ধাবন প্রতিযোগীতার পথের কাছাকাছি ধাবন প্রতিযোগীতার কাপড় পরিধান করেছিল	মোটরসাইকেলে থাকা লোকজন একটি ধাবন প্রতিযোগীতার পথের চারপাশে ঘুরছে	3.8
193	একটি মানুষ একটি তুলি নিয়ে মাটিতে দাঁড়িয়ে আছে	একটি মানুষ মাটিতে খাঁজের যষ্টি নিয়ে শুয়ে আছে ।	1.2
194	বাচ্চারা সিনেমা হলে একটি  সিনেমা দেখছে।	এটা ছেলেদের জন্য ছবি দেখার দিন।	0.2
195	দোকানের পাশে দুইজন মহিলা হেটে  যাচ্ছেন।	দুজন মহিলা বিকালে রাস্তার পাশে হাঁটছেন।	3.8
196	একজন মানুষের পিঠে তার পুত্র আছে	একটি মানুষ তার পুত্র সঙ্গে তার সময় অতিবাহিত করে।	2.4
197	কালো-চর্মযুক্ত মানুষদের একটি দল অতীতেও কাঁটা তারে হেঁটেছিল।	দুই নারী একটি বেড়া পাসে গল্প করছে।	0.4
198	মস্তিক খাওয়ার চারপাশে জিবিতলাসেরা জাঁক বেঁধেছে।	জিবিতলাসের একসাথে মাংস খাঁচে।	3.4
199	এক দল মানুষ সমুদ্র সৈকতে গামছা পড়ে বসে আছে আর নীল পরিদের দেখছে।	এক দল মানুষ সমুদ্র বসে আছে আর নীল পরিদের দেখছে	4.2
200	একটি বাস্কেটবল খেলোয়াড় রাতের পঞ্চমতম প্রতিঘাত তোলে	একটি খেলা মাঝখানে একটি টেনিস প্লেয়ার	1.4
201	কফির জন্য তিনজন মানুষ সাক্ষাৎকার করছে	দুইজন মানুষ কফি বানায়	2.4
202	একটি যুবতী মেয়ে যার চেহারায় ময়লা এবং লাল রঙ্গের বাইকের ছেলেটি মাটিতে পড়ে আছে।	হাফ প্যান্ট এবং একটি সাদা টি-শার্টের আক বয়স্ক মহিলা রাস্তার পাশে দাড়িয়ে শিশুর খেলা দেখছেন।	0.8
203	একটি হেলিকপ্টার উড়রার জন্য প্রস্তুত হচ্ছে।	বিমানটি উড়রার জন্য প্রস্তুত হচ্ছে।	2.8
204	একটি রাস্তার মাঝখানে একসারি স্কুটার  পার্কিং করা হচ্ছে।	একটি রাস্তার মাঝখানে একসারি মোটর বাইকের একটি লাইন পার্ক করা হয়েছে।	4.4
205	একটি মানুষ একটি বিড়াল ধরে রেখেছে	একটি মানুষ একটি কুকুর ধরে রেখেছে	3.0
206	একটি মানুষ গাছ দ্বারা বেষ্টিত জায়গায়  মোটর সাইকেল লাফানোর কৌশলটি করছেন	একটি ছেলে বাইরের কিছু সিঁড়ির উপর একটি সবুজ  মোটর সাইকেলর উপর বসে কৌশল করছে।	3.0
207	গতিসম্পন্ন তিনজন লোক একটি পাখির রেলিং উপর তাদের পা আপ আছে একটি কষা পেয়ে	ডেকের কয়েকজন লোক অন্য মানুষকে পানিতে ফেলে দিচ্ছে	1.6
208	একটি জাদুকরীক জুড়ে একটি দল স্তূপ তৈরি করছে	একটি খাদ জুড়ে একটি দল ্তূপ তৈরি করছ	2.8
209	একটি নারী লাফাল এবং ক্যামেরার জন্য অঙ্গভঙ্গি করছে।	একজন মহিলা ক্যামেরার জন্য অঙ্গভঙ্গি করছে।	4.0
210	একজন মানুষ  ছাদের উপর আছে	একজন মানুষ একটি কক্ষের মধ্যে একটি মাইক্রোফোন ধরে আছে।	0.8
211	প্রাচীরের কাছাকাছি দুইজন পুরুষ আছে।	তিনটি মহিলা একটি প্রাচীরের কাছে বসে আছে।	2.0
212	বিড়াল ঘাসের মধ্যে দিয়ে দউরাচ্চে	কিছু কুকুর উদ্যানের মধ্যে দিয়ে দউরাচ্চে।	2.0
213	দুই ছেলে একে অপরের দিকে বল লাথি মারার খেলা খেলছে।	বল লাথি মারার চেষ্টা করার সময় খেলোয়াড় একে অপরকে আঘাত করছে।	3.0
214	দুইজন মেয়ে দউরাচ্চে	তিনজন ছেলে দউরাচ্চে	2.2
215	দুইজন পুরুষ জিন্স পড়ছে।	দুইজন পুরুষ প্যান্ট পড়ছে।	4.4
216	একটি সাদা ব্লাউজ এবং নীল প্যান্টের একটি ছোট মেয়ে ঘাসের ওপর ক্রিয়াকৌতুক করছে।	সবুজ শার্ট এবং সাদা প্যান্টের এক মহিলা ঘাসে গল্ফ খেলছে।	1.8
217	শার্ট ছাড়া মানুষটি লাফাচ্ছে।	 যে মানুষটি লাফাচ্ছে সে শার্ট পড়ে নেই।	4.6
218	মহিলাটি পুরুষটির হাত ধরে আছে।	মহিলাটি মানুষটির চোখ পরীক্ষা করছে	2.4
219	একটি মানুষ সৈকতে তার কুকুরকে পদভ্রমণ করাছে	একটি মানুষ সৈকত উপর তার কুকুর সঙ্গে আছে। 	4.4
220	শিশুটি মহিলার বাচ্চা	একটি ছেলে এবং একটি মেয়ে আছে	0.8
221	একটি ফুটবল খেলোয়াড় বলটিকে লাথি মারছে।	ফুটবল খেলোয়াড় বলটিকে উচুতে মারল।	3.8
222	কালো রঙ্গের সাঁতারের জামা পড়ে সৈকতের কাছে অন্য ছেলেকে হাতে পায়ে ধরে রেখেছে।	সাদা শার্ট পড়া মানুষটি ছোট ছেলেকে পানিতে ফেলছে যার চারপাশে ছেলে ছিল।	1.4
223	খেলোয়াড়টি বিজয় বিন্দুতে অঙ্কু্রিত করল।	বাস্কেটবল খেলোয়াড় তার দলের জন্য পয়েন্ট স্কোর করতে যাচ্ছে।।	2.8
224	  সাদা শার্ট এবং টুপিতে একজন মানুষ গিটার বাজাচেছ।	সবুজ শার্ট এবং কালো টুপিতে একটি মানুষ মঞ্চে গিটার বাজাচেছ।	2.8
225	একটি কালো  ফনাআলা মানুষ একটি পুস্তিকা পড়ার জন্য বিবর্ধক কাঁচ ব্যবহার করছে।	একটি সাদা বরখা পড়া মহিলার একটি  ছোট পুস্তিকা পড়ার জন্য বিবর্ধক কাঁচ ব্যবহার করছে।	2.8
226	মানুষেরা ম্যারাথনে দওরাছে।	মানুষ ম্যারাথনে দওরাছে	5.0
227	একটি  মোটরসাইকেল প্রতিযোগিতার প্রতিযোগী একটা দওর পরিচালনা করে চলছে	একটি দওরের বাজি একজন গাড়ী চালক তার জীবনে আকিবার সমাধান করতে পারে।	3.0
228	একদল মানুষ পানি পার করতে স্নায়বিক বোধ করছে।	একদল মানুষ পানিতে আছে।	2.2
229	বাচ্চাদের দলের লাফানো প্রতিযোগিতা হচ্ছে।	বাচ্চাদের একটি দলের রাত্রি জাগার আয়জন হচ্ছে।	1.2
230	দরজাটি নীল	দরজাটি হলুদ।	1.6
231	লোকটি ফেডোরাটি পরেছে।	একটি মানুষ আনুষ্ঠানিক পোশাক পরছে।	1.6
232	একটি ভৌতিক সিনেমা দেখার সময় একটি নারী এবং একটি মানুষ আলিঙ্গন করেছিল।	একটি মানুষ এবং একটি মহিলা একসঙ্গে একটি সিনেমা দেখে।	2.8
233	একটি মানুষ নীল পোষাকের শার্ট এ আছে	 সাদা শার্ট এবং নীল প্যান্টের একজন মানুষ গোলাপী শার্টে একজন মহিলার সাথে কথা বলছে।	1.8
234	একটি দম্পতি জীবন নিয়ে খেলা খেলছে।	পরিবার একসঙ্গে একটি খেলা খেলছে।	2.6
235	এক ছেলের মাথার সাথে সাদা চশমাটি কেন্দ্রবিন্দুতে আছে। 	এক মহিলার মাথা ভর্তি চুল আছে।	0.2
236	একটি সৈকত একটি কুকুর ভাঙ্গা ডেউয়ের সঙ্গে পদচারনা করছে।	একটি বাচ্চার সঙ্গে একটি ছেলে সার্ফ আউট পদচারণা এবং একটি সৈকত সম্মুখের।	1.0
237	 এক জোড়া পুরুষ  সৈকত বরাবর হাঁটছে।	একটি সৈকত দুই পুরুষ  সার্ফের উপর দাঁড়িয়ে আছে।	2.6
238	একটি সুড়ঙ্গ মধ্যে স্বর্ণকেশী নারী আছে	স্বর্ণকেশী মহিলার কাছাকাছি এক দম্পতি চুম্বন করছে।	1.6
239	একটি রক্ষণাবেক্ষণ লোক একটি টেনিস কোর্টের জাল মেরামত করছে।	একটি মানুষ একটি টেনিস কোর্টের জাল সরাচ্ছে।	2.4
240	বাহিরে একটি বাচ্চা একটি ফুটবলের উপর বসে আছে।	একটি বাচ্চা পার্কে ফুটবল বলের উপর বসছে।	4.2
241	একটি কাক ঘাসের ওপর এক পায়ে দাড়িয়ে গুন গুন করছে।	একটি লম্বা লেজের রোগা কুকুর মাঠের মধ্যে দিয়ে যাত্রা করছে।	0.2
242	বাদামী কোটের একটি মানুষ তার নাক চুলকাচ্ছে	এক লাল দাড়ির নেরা মানুষ তার হাত তার মুখের কাছাকাছি ধরে রেখেছে।	2.2
243	কুকুরটি  রাজহাঁসের পেছনে ছুটছে।	এক কুকুর অন্য একটির পেছনে ছুটছে।	1.6
244	ছোট শিশুটি পি অক্ষর নিয়ে খেলছে	দুই যুবতী মেয়েএকটি বইয়ের আলমারির সামনে বসে আছে এবং একজন একটি বই পড়ছে।	0.8
245	একটি বাদামী কুকুর লাফাচ্ছে।	একটি বাদামী কুকুর লাফাচ্ছে	5.0
246	একজন মানুষ একটি বল ধরছে।	একটি মানুষ একটি বলকে লাথি মারছে।	3.0
247	দুজন লোক একটি কক্ষে বসে আছে।	একটি রুমে দুটি পুরুষ দাঁড়িয়ে আছে।	3.0
248	লাল শার্টে কিশোরদের একটি দল হাসছে।	লোকেদের একটি দল কমলা শার্ট পড়ছে।	1.2
249	মহিলা তার প্রিয়জনের জন্য অপেক্ষা করছে।	মহিলা তার প্রিয়জনের সাথে দেখা করার পথে।	3.2
