	sentence_1	sentences_2	similarity
0	Letadlo Boeing havarovalo v Rusku, 50 mrtvých.	Letadlo Boeing havarovalo v ruském městě Kazaň, 50 mrtvých.	3.8
1	Šokující tah, Obama odložil útok na Sýrii.	Obama odložil útok na Sýrii.	4.6
2	Japonský PM rozpouští sněmovnu pro volby	Írán a světové mocnosti jsou připravení vést jaderné rozhovory	0.0
3	Palestinský diplomat zraněn při výbuchu v Praze	Palestinský velvyslanec zraněn při výbuchu apartmánu	4.0
4	Libanonská obchodní stávka na protest na politické slepé uličky.	Tuniský prezident říká, sebejistota může přejít v politickou krizi.	0.6
5	Francie varuje před extrémisty benefitujícími z Egyptského násilí	Francie straší, že extrémisté mohou těžit z Egyptského násilí	4.4
6	Putin vyhrál ruské prezidentské volby	V ruských prezidentských volbách začíná hlasování	1.0
7	Zemětřesení o síle 6.8 stupňů zasáhlo Šalamounovo ostrovy.	Rozsáhlé zemětřesení o síle 6.3 zasáhlo Šalamounovo ostrovy: USGS.	3.2
8	Zimmerman zastaven za překročení rychlosti v Texasu, propuštěn s varováním.	Zimmerman zastavil v Texasu, kvůli rychlé jízdě, dostal varování.	5.0
9	Bývalý důstojník LAPD hledán kvůli Irvine vraždám.	Bývalý důstojník CIA odsouzen k 30 měsícům vězení za úniku informací.	0.0
10	Sedm světových pohárů v rámci Keňské Äôs	Střed zájmů v otevřeném soudním řízení o smrti mladého muže v Äôs	0.0
11	Svět posílá humanitární pomoc poničeným Filipínám	Tajfun Haiyan: Svět posílá pomoc na poničené Filipíny	5.0
12	Prezident Malediv odstupuje po policejní vzpouře, protestestech	Prezident Malediv odstupuje po týdnech protestů	3.4
13	Filipíny zadržely druhého senátora kvůli korupci.	Filipíny se vzpamatovávají po silném tajfunu.	1.4
14	Britský teenager zabit pádem z hotelu v Magaluf.	Britský teenager zabit pádem v magalufském hotelu.	5.0
15	Egyptský soud zvažuje propuštění Mubaraka.	Egyptský soud nařídil propustit Mubaraka.	3.4
16	Čínské akcie pomalu rostou po ekonomické schůzce.	Čínské akcie pomalu porostou ve středu.	3.4
17	Zemětřesení o velikosti 6,3 zasáhlo Taiwan.	Zemětřesení o velikosti 7,7 zasáhlo Pákistán.	1.2
18	Americká vojenská přítomnost ve východní Asii	Vojenská přítomnost NATO uprostřed ruské hrozby	1.2
19	Sýrští rebelové přesunují velení od Turecka do Sýrie	Volná syrská armáda přesunuje velitelství z Turecka do Sýrie	3.8
20	"""Zatykač"" na Maledivského ex-prezidenta"	Maledivy vydaly zatykač na bývalého prezidenta	4.5
21	Arméni volili v parlamentních volbách	Arménské parlamentní hlasování, test pro prezidenta	3.2
22	Fotbalový rozhodčí napadený hráčem umírá.	Policie: Utažský fotbalový rozhodčí napadený hráčem umírá.	4.2
23	Může USA věřit Sýrii, v předání chemických zbraní?	USA říká, že Sýrie může použít plyn sarin v chemických zbraních.	1.0
24	Zemětřesení o velikosti 6.2 otřásá Sarangani.	Zemětřesení o velikosti 4.3 otřásá jihozápadní Čínou.	2.0
25	2 zabití, 11 zraněných při útocích v Iráku.	15 zabito, 90 zraněno při nedávných útocích v Iráku.	2.2
26	Bombardování, střety v Sýrii pokračují	Bombové útoky, střety zatímco Syrská opozice žádá zbraně	3.4
27	Palestinští vězni přijeli na Muqatu v Ramallah.	Pákistánští vězni napadeni ve vězení v Jammu.	1.0
28	Tajwanská ekonomika vzrostla o 2.27% během druhého čtvrtletí.	Růst Čínské ekonomiky se zastavil na 7.8% za poslední čtvrtletí.	1.0
29	Indonéské protiteroristické komando zabilo dva podezřelé ozbrojence	Indonéská policie zastřelila podezřelé militanty na Bali	3.2
30	Čínská vláda slibuje zlepšení ekonomiky	Čínský premiér Wen slibuje vytváření pracovních míst	3.2
31	Počet obětí letecké havárie v Rusku stoupá.	Počet obětí autobusové nehody v Itálii se vyšplhal na 39 obětí.	0.0
32	Brahimi se omlouvá Sýrii nad nedostatkem progresu ohledně míru.	Prostředník se omlouvá Sýrii za nedostatek progresu ohledně míru.	3.8
33	Útoky Talibanu zabili v Afghánistánu 17 civilistů.	Při sérii útoků v Afghánistánu zemřelo 10 policistů.	1.4
34	Akcie rostly brzy po řecké dohodě, poté se růst zastavil	Akcie se zvýšily po řecké dohodě	3.6
35	Nejstarší muž na světě umřel ve 116.	Japonsko: nejstarší muž na světě umřel ve věku 116 let.	4.6
36	US rozpoznává syrskou opozici.	Rusko pozvalo syrskou opozici na diskuzi.	2.0
37	Nadal vynechá Australian Open, kvůli nemocnému žaludku.	Rafael Nadal bude chybět na Australian Open.	3.4
38	Královna Beatrix z Nizozemska odstupuje kvůli synovi.	Královna Beatrix z Nizozemska odstupuje ve prospěch syna.	5.0
39	100 zabito v novém Dárfúru při kmenových střetech.	"""9 mrtvých"" v novém Dárfúru při kmenových střetech."	2.8
40	Egypt vyzývá k více protestům.	Počet obětí z Egyptských protestů vzrostl na 49.	1.4
41	Íránský prezident odsuzuje použití chemických zbraní v Sýrii.	Vyšetřování údajného použití chemických zbraní v Sýrii.	1.6
42	Sandy udeřil ze severo-východu, nejméně 18 mrtvých, 7,4 milionu bez proudu	Bouře na východě Spojených států zanechaly 2 mrtvé ve Va., 2 miliony bez proudu	2.6
43	Německý vyslanec je optimistický ohledně rozhovorů Íránu a G5	írán ‚opatrně optimistický‘ ohledně budoucích jaderných rozhovorů	1.4
44	Čínský prezident se setká s řeckým premiérem, výzva k silnějšímu partnerství	Čínský prezident se setká s indickým víceprezidentem	1.8
45	Indické akcie otevírají rovné.	Indické akcie otevírají nízko.	3.6
46	USA vyloučila Venezuelské diplomaty v řadě.	USA vyloučila Venezuelské diplomaty.	4.4
47	Vůdce Ukrajiny slibuje krizové rozhovory	Vůdce Ukrajiny slibuje krizové rozhovory	5.0
48	Green Lantern se znovu představuje jako homosexuál v DC komiksech	Green Lantern se znovu objevuje jako homosexuální superhrdina	4.0
49	BBC veterán Hall přiznává sexuální zneužívání dětí.	Stuart Hall přiznává sexuální útoky na děti.	3.4
50	Muž byl obviněn poté co byl MP zraněn při útoku	Muž obviněn z vraždy v bytě	1.4
51	Dva stopaři Santy soupeři letošní Vánoce.	Španělsko vrací hodiny zpět na siestu.	0.0
52	3 mrtví, 1 zraněný při střelbě v přímořském motelu v Jižní Karolíně	4 mrtví, 30 zraněných při železniční nehodě blízko Moskvy	0.2
53	USA, Čína selhaly v nápravě vazeb.	Čína: pokles v nasazení, jak se víra k nalezení po pohřešovaných se rozplývá.	0.4
54	Izraelští velvyslanci předvoláni kvůli plánům na dohodu.	Británie předvolala izraelského velvyslance kvůli dohodě.	2.5
55	Zřícení budovy v Bangladéši má na svědomí 362 mrtvých.	Počet obětí stavebního kolapsu budovy v Bangladéši stoupá na 580 mrtvých.	3.6
56	Snowden 'získán uprchlický doklad od Ecuadoru'.	Snowden připraven odletět z Moskvy.	1.2
57	US skládá bomby na velký bariérový útes.	US vojsko torpéduje bomby blízko australského velkého bariérového útesu	3.8
58	Čínský akciový index v budoucnu poroste - 4. prosince.	Čínský akciový index v budoucnu klesne - 24. ledna.	2.2
59	Britský náctiletý byl zabit pádem z hotelu Magaluf	 Britský náctiletý byl zabit při pádu z hotelu Magaluf	5.0
60	2 mrtví, 2 zranění po střelbě v Nevadě na střední škole.	Nevada: 2 mrtví, 2 zranění po střelbě na střední škole.	5.0
61	Obama se setká s rodinou Mandely.	Obama se setká se Zumou a vzdá hold Mandelovi.	3.0
62	18 lidí uvězněno po výbuchu v ruském uhelném dolu.	Výbuch zabil deset lidí v ruském uhelném dolu.	2.8
63	SC odmítá žádost vlády o přezkum případu daňového poplatku u Vodafone	SC odmítá návrh na petici k verdiktu o daňových poplatcích Vodafone	4.4
64	Pákistánská letadla bombardují 'úkryty Talibánu'.	Pákistán požaduje zastavení dodávání vojenských zásob Sýrii.	1.6
65	Weiner zůstane v úřadě starosty NYC po přiznání nového skandálu se sextingem.	Weiner mávnul rukou nad posledním skandálem online sexu.	3.0
66	Bombové útoky zabili 53 lidí v Damašku.	Bombové útoky zabili 13 civilistů v irácké metropoli.	1.4
67	Prince Charles 'srovnává Putina s Hitlerem'.	Prince Charles 'srovnává Vladimíra Putina s Adolfem Hitlerem'.	5.0
68	Francie se zavazuje vojenskou pomocí v Mali Most.	Francouzské podpůrné vojenské operace v Mali.	1.4
69	Německý vyslanec je optimistický ohledně vyjednávání mezi Íránem a G5+1.	Irán je 'opatrný' ohledně budoucích vyjednávání o jaderném programu.	1.4
70	Thajští protestanti zabraňují hlasování; 1 mrtvý po násilí.	Thajští protestanti blokují volební místnosti v Bangkoku.	2.8
71	Snowden žádá, aby mohl zůstat v Rusku.	Snowden vydává první Ruská videa.	1.4
72	Egyptské muslimské bratrstvo odmítá ustoupit	Egyptský soud odsoudí vůdce muslimského bratrstva k doživotí ve vězení	1.4
73	Izrael zadržuje 37 Palestinců zatímco zatýkací operace pokračuje.	Izrael kritizuje palestinský postoj k imigrantům.	1.2
74	Usain Bolt vyhrál 200m - Steven Howard reakce	Mobilní zisky Facebooku pohánějí růst výnosů: reakce	0.2
75	Aso odmítá odstoupit kvůli komentářům nacistů.	Španělský předseda vlády odmítá rezignovat kvůli korupčnímu skandálu.	0.2
76	Bomba v autě na švédském konzulátu v Libyjském Benghází, žádné ztráty.	Bomba v autě zasáhla švédský konzulát v Benghází, nikdo nebyl zraněn.	4.8
77	"Izraelský bývalý špion varuje před ""mesiášskou"" íránskou válkou"	Izraelský bývalý špionážní šéf: nevěřte vedení nad Íránem - video	3.0
78	Pokles zboží na trhu spojených států se zklidňuje.	Výprodej technologií snižuje obsah Asijského trhu.	0.4
79	Tokyo hostí hry v roce 2020	Tokyo vyhrálo závod o pořádání Olympijských her v roce 2020	4.8
80	Čínské akcie při pátečním poledni uzavřely výše	Čínské akcie v pátek otevřely níže	1.0
81	Rusko tvrdí, že překazilo možný teroristický útok	"Rusko říká, že balistické ""objekty"" byly vypáleny ze Středomoří"	1.4
82	2 policajti zabiti po výbuchu ve východním Afganistánu.	Minimálně 28 lidí zemřelo po výbuchu v čínském uhlovém dole.	0.4
83	Indické media: summit Commonwealthu.	Indické PM uráží summit Commonwealthu.	2.8
84	DNA ledního medvěda může pomoci v boji proti obezitě	Studie polárního medvěda může urychlit boj proti obezitě	4.8
85	Francie varuje před radikály (extremisty) těžícími z egyptských násilností.	Francie se obává, že extrémisté budou těžit z egyptských násilností.	4.4
86	Evropské akcie poskočili s nárůstem Čínských stimulů	Ceny ropy stoupají v naději stimulů	0.8
87	Alžírský prezident je na terapii po infarktu: státní media.	Bulharský prezident zkouší zlomit pat ve volbách.	0.4
88	UN zve Írán na syrskou mírovou konferenci.	UN: Írán pozván zúčastnit se syrské mírové konference.	5.0
89	Čínský yuan posiluje na 6.168 vůči dolaru, pondělí.	Čínský yuan posiluje na 6.1696 vůči dolaru, čtvrtek.	4.2
90	Dva mrtvý po izraelském útoku na Gazu: medici	5 mrtvých při úderech na Gazu, radikálové ostřelují Izrael	2.0
91	Hodnota čínských akcií v pátek mírně klesne.	Hodnota čínských akcií ve středu mírně poroste.	1.8
92	Abdullah Widens vede v afgánských prezidentských volbách	Blízko afgánského presidentského paláce byly slyšet exploze	1.0
93	Venezuelský Chávez je potřetí na Kubě z důvodu léčby proti rakovině,	Venezuelský vůdce se z léčebných důvodů vrací na Kubu	3.2
94	HRW: Jordán vrací palestinské uprchlíky ze Sýrie	zpráva: Jordán je zaujatý proti Palestincům ze Sýrie	2.2
95	"Švýcarského turistu ""znásilnili"" v Indii."	Švýcarského turistu znásilnil gang v Indii, říká policie.	5.0
96	Japonsko po kritice USA hájí lov delfínů	Japonsko hájí lov delfínů po kritice z USA	5.0
97	Blizzard zasáhl severovýchod USA, pět mrtvých, 700,000 bez energie.	Blizzard spráskal severovýchod USA, silnice uzavřeny.	2.2
98	Čínské akcie ve středu zahájují níže	Čínské akcie v pondělí končí níže	2.6
99	ABVP demonstranti se střetli s policií v Jantar Mantar, házeli kameny.	Demonstranti se střetli s policií v Jantar Mantar, 5 osob zadrženo.	2.8
100	Hráčem udeřený fotbalový rozhodčí zemřel	Policie: Utažský fotbalový sudí po hráčově úderu zemřel	4.2
101	Protest proti zásahu amerických dronů v Paku odložen.	6 zabitých při útoku U.S. dronu v severozápadním Pákistánu.	1.4
102	Filipíny zadržely druhého senátora kvůli korupci	Filipínách se vzpamatovávají po silném tajfunu	1.4
103	Boj o Malijské město odráží islamistické taktiky.	EU trénuje armádu Mali k boji proti severním islamistickým ozbrojencům.	2.0
104	Egyptští demonstranti dávají Morsi ultimátum k rezignaci	Ukrajinští demonstranti se nově střetli s policií	0.4
105	3 Čínští turisti zabiti v Pákistánu.	Sedm únosců zabito v jižní Nigerii.	0.4
106	Dva mrtvý v Sýrii po násilnostech od okamžiku kdy OSN začala monitorovat zemi	Dvouletý zákaz pro Contadora za doping	0.0
107	Třepení společnosti na okrajích.	Zarovnání starých TV způsobuje trhliny na okrajích.	0.4
108	Ukrajinští protestanští vůdci jmenují ministry, Ruské jednotky jsou na pozoru.	Ukrajina odmítá jednat proti Ruské 'Provokaci'.	1.2
109	Španělsku míra nezaměstnanosti na novém maximu	Nezaměstnaných ve Španělsku přibylo na nové maximum	4.2
110	Snowden narazil na překážky v pátrání po Azylu.	Snowden narazil na překážky v pátrání po Azylu.	5.0
111	Počet mrtvých po zemětřesení na Filipínách stoupl na 185.	Počet mrtvých po zemětřesení na Filipínách stoupl na 144.	3.6
112	Ehud Olmert, bývalý premiér odsouzen na 6 let vězení za korupci.	Ehud Olmert odsouzen na šest let v Izraeli.	3.8
113	Řecké dluhopisy mají největší restrukturalizaci dluhů v historii	Řecko zajisťuje největší zadlužení v historii	2.8
114	Indická policie shromáždila všech 5 podezřelých z případu mumbajského znásilnění.	Mumbajská policie zatkla pátého podezřelého z případu hromadného znásilnění	3.8
115	11 lidí zabito při útoku na čínskou policejní stanici.	Jedenáct lidí zabito při útoku na čínskou policejní stanici.	5.0
116	Putin podepisuje krymský dodatek úmluvy.	09:32 Putin ukončuje anexi Krymu.	3.6
117	Rebelové zabíjejí 21 civilistů v syrské obci Alawite.	Bomba zabíjí 18 civilistů v Afghánistánu.	1.2
118	Thajští protestující pronikli do armádního ústředí.	Thajští protestující zaútočili na armádní ústředí.	4.6
119	Čínský ledoborec změnil kurz směrem k podezřelým objektům.	Číňané prohledávající letadlo našli 'podezřelý objekt'.	2.0
120	Nigerijská univerzitní napadnuta ozbrojenci	 Nigérie: Bombový útok na univerzitu na severu	2.2
121	Policie se střetla s mládeží po protestu proti Morsi.	Egypt: Policie se střetla s Morsi sympatizanty.	2.8
122	Manželka indického ministra zemřela 'nepřirozenou smrtí' po zvěstech ohledně milostného poměru 	Ministrova manželka zemřela nepřirozeně	3.8
123	Paul Tucker z Banky Anglie je spojován se skandálem Libor	Banka Anglie odmítá nařízení manipulací se sazbou	2.8
124	Mírné zemětřesení otřásá severozápadním Pákistánem.	Mírné zemětřesení zasáhne jižní Pákistán.	3.0
125	De Blasio složil přísahu jako starosta New Yorku, nástupce Bloomberga.	Bill De Blasio složil přísahu jako starosta New Yorku, nástupce Michaela Bloomberga.	5.0
126	Malajsie zadržuje australského senátora na letišti.	Malajsie zadržuje australského zákonodárce na letišti.	4.0
127	Obama se zaměří na ekonomiku ve Státě unie.	Factbox: Co je třeba hledat v Obamově řeči o Státu unie.	2.2
128	Zpoždění raketového testu zvedlo v USA napětí.	William Hague: rozhodnutí zastavit raketový test v USA 'citlivé'.	3.4
129	Oheň v Beijingu zabil 10 osob	Oheň v Beijingu zabil deset osob	5.0
130	Annan návštíví syrské uprchlíky v Turecku, úterý	Annan navštíví syrské uprchlíky v Turecku před návštěvou Íránu	3.8
131	Nejvyšší čínský politický poradce navštívil řeckého premiéra	Vrcholný čínský politický poradce navštívil jemenského prezidenta	3.4
132	Nelson Mandelovo vzpomínková bohoslužba.	Nelson Mandela umírá: živé zpravodajství	2.4
133	Únik kapalného amoniaku zabil v Šanghaji 15 lidí.	Únik kapalného amoniaku zabil v Šanghaji nejméně 15 lidí.	4.6
134	Google vypouští internetové zářící balóny.	Google hraje mezinárodní daňovou hru.	1.0
135	Obrázky dne: 7. srpna 2013.	Obrázky dne: 11. dubna 2013.	2.8
136	Francouzská vojska se blíží na Timbuktu.	Francouzská vojska kontrolují přístup do Timbuktu.	3.6
137	Zpráva Severoamerického prezidenta v novinách World Press Freedom Day.	Pákistán označil noviny World Press Freedom Day.	2.2
138	Severní Korea zastavuje práci na společné průmyslové zóně.	Severní Korea blokuje přístup do společné průmyslové zóny.	4.0
139	Základy Jihoafrické republiky jsou postaveny na památce Nelsona Mandely	Australští politici truchlí nad smrtí Nelsona Mandely	1.3
140	12 mrtvých a desítky zraněných při výbuchu plynu v Doha	 26 mrtvých, včetně 8 dětí, zabito syrskou střelou	0.6
141	Desítky vystrašených lidí uvězněných po kolapsu budovy v Indii.	Záchranáři se snaží najít 20 stále uvězněných lidí v Indii po kolapsu budovy.	3.0
142	Severní Korea se vyhýbá nabídce rozhovorů	Severní Korea odpálila 2 rakety	1.2
143	Jemen: bitva na severu zabito přes 120 lidí. 	Janet Yellen: pět věcí, které byste nemuseli vědět.	0.0
144	Policie napadena při protestech o Belfastskou vlajku.	Rozhovor s policií, násilí ohledně vlajky.	0.6
145	Federace se posunula k vyžadování bezpečné komunikace mezi auty	Guatemala převrátila rozsudek bývalého diktátora za genocidu	0.0
146	Prohlášení mluvčího zastupitelky Catherine Ashtonové o poslední záplavě útoků v Iráku.	Prohlášení mluvčího zastupitelky EU Catherine Ashtonové o obnovení poprav v Iráku.	3.2
147	Bomba na silnici zabila 5 lidí v Afghánistánu.	Bomba na silnici zabila 3 policisty v Afghánistánu.	3.4
148	Pakistan hlasoval v rozhodujících volbách	Pákistán po zabití 29 osob při útoku pořádá rozhodující volby	3.4
149	Poslední vlna proti muslimského násilí v Burmě zapříčinila 1 úmrtí a 10 zraněných.	Světová tisková konference: Smrtící proti muslimská vlna násilí je na vzestupu.	2.6
150	Taiwan se zatřásl po silném zemětřesení	Čína se otřásla po dvou zemětřeseních	1.2
151	Londýn 2012 Olympijské slavnostní zahájení: “K zelené a příjemné zemi”	Londýn 2012 Olympiáda: Slavnostní zahájení být “zelená a příjemná země”, říká Danny Boyle	4.2
152	Armádní tryskáč havaroval v Americe do bytových domů, piloti se katapultovali	Americký armádní tryskáč spadl ve Virginii do bytových domů	3.4
153	Mugabe prohlášen za vítěze sporných voleb.	Zimbabwe: Mugabe prohlášen za vítěze sporných voleb.	4.0
154	Venezuelský Hugo Chaves umřel na rakovinu	Hugo Chaves: Venezuelský pracovník pro jednotu	1.8
155	Palestinský hladovkář, Izrael dosáhl dohody	Palestinský aktivista zadržen pri Izraelském náletu	1.2
156	5 mrtvých v jihočínském silničním tunelu	02:41 156 mrtvých při čínském zemětřesení	1.2
157	Hodnota čínských akcií ve středu mírně klesne.	Hodnota čínských akcií v pátek mírně poroste.	2.2
158	Hlavní opoziční Egypta odmítá prezidentovu výzvu k debatě.	Egyptská opozice zvažuje reakci na výzvu na Morsiho debatu.	3.8
159	Ehud Olmert, bývalý izraelský premiér, byl odsouzen k šesti letům vězení za korupci	Ehud Olmert byl odsouzen k šesti letům v Izraeli	3.8
160	Bangladéšský soud odsoudil prvního zákonodárce k trestu smrti za válečné zločiny.	Britský premiér tlačí na Srí Lanku, kvůli válečným zločinům.	1.8
161	Federální policie bude vyžadovat bezpečnostní komunikaci mezi hlídkovými vozy.	V Guatemale došlo ke zvratu v přesvědčení bývalého diktátora ohledně genocidy.	0.0
162	Čtyři další lidé zatčeni kvůli největšímu australskému syndikátu na dovoz nelegálního tabáku	Policie se zaměřuje na nelegální tabákový syndikát	2.8
163	Desítky mrtvých po útoku Talibanu na letovisko	“Indická policie obvinila 3 Íránce z útoku na velvyslanectví”	0.4
164	Clintonová: USA, Evropa musí dělat více proti tyranům	Clintonová: USA, Evropa musí usilovat o to porazit tyrany	4.4
165	Yahoo! jmenoval Mayerovou z Google jako CEO: Zpráva	Yahoo jmenoval bývalou zaměstnankyni Google Mayerovou jako CEO	4.2
166	Jagan Reddy přesunut do nemocnice, energetická krize v Seemandhře pokračuje.	Telangana: Jagan strávil čtvrtek v nemocnici; výpadek v Seemandhře pokračuje.	4.2
167	Bangladéš vyznamenává dělnické oběti	Maloobchodníci vrátili Bangladéši dohodu o tovární bezpečnosti	2.8
168	Severní Korea údajně otestovala rakety s krátkým dostřelem.	Severní Korea vystřelila rakety s krátkým dostřelem.	4.0
169	Izraelský předseda vlády nazval prezidenta Iránu hypokritem.	Řecký předseda vlády obvinil koalici z pokrytectví.	1.2
170	Zhroucení budovy v Bangladéši, počet obětí dosáhl 540 mrtvých: armáda.	Zhroucení budovy v Bangladéši, ztráty na životech přes 1000 mrtvých.	2.6
171	Ozbrojenec zabil devět lidí v severozápadním Pákistánu.	Radikálové zabili 6 vojáků v severozápadním Pákistánu.	2.6
172	Americký teenager zadržen v Chicagu z důvodu nastražení bomby v automobilu ve jménu ‚džihádu‘	Chicágský tenager zatčen v Chicagu z důvodu nastražení bomby	3.4
173	Americký Senát schválil daňovou skalní dohodu.	"Je to oficiální: Dohoda dosáhla na ""daňový útes""."	3.4
174	Sebevražedný atentátník zaútočil na pohřeb v Iráku.	Sebevražedný atentátník zaútočil v Sýrii.	1.8
175	Izrael provádí nálet na Sýrii.	Izrael zahajuje nový nálet proti Sýrii.	4.4
176	Egyptská policie použila slzný plyn na demonstranty v Káhiře	Policie použila slzný plyn na demonstranty v Káhiře	4.0
177	V pondělí je třeba pozorně hlídat stavy zásob.	V pondělí je třeba hlídat stavy zásob.	4.0
178	Francouzský parlament podporuje reformu zákona o prostituci.	Ruský parlament zvažuje zákaz amerických adopcí.	0.8
179	Vojenská stíhačka spadla do bytového domu	Americká vojenská stíhačka spadla ve Virginii do bytových domů	3.6
180	Cestující vánoční výletní lodi nakaženi norovirem.	Pohřešovaný cestující výletní lodi je Ambo NSW.	0.0
181	Pět lidí v Kosovu odsouzeno za obchodování s orgány.	Kosovo: 3 lidi půjdou do vězení za obchodování s orgány.	2.8
182	Vlna útoků v Iráku zabila přes 95 osob	Sebevražedný útok v severním Iráku zabil 12 osob	1.8
183	35 militantů zabito v Afghánistánu po nájezdu: oficiálně	12 militantů zabito v Afghánistánu po nájezdu: ministerstvo	2.8
184	Přátelé Sýrie uznávají opoziční koalici jako legitimní zástupce syrského lidu.	USA, přátelé Sýrie uznávají opozici jako výhradní zástupce.	4.0
185	Prince Charles 'přirovnává Putina k Hitlerovi'	Prince Charles 'přirovnává Vladimíra Putina k Adolfu Hitlerovi‘	5.0
186	Obyvatelé Texasu hledají pomoc v kostele po smrtícím výbuchu.	Obyvatelé se vrací do Texasu, místo výbuchu.	2.6
187	Irán varuje ohledně vojenských zásahů v Iráku.	Exploze poblíž vojenského letiště v Damašku.	0.0
188	Izraelská armáda se zaměřuje na severní hranici.	Egyptská armáda převezme kontrolu nad Muslimským bratrstvem, podpůrci.	1.6
189	Google investuje 200 milionů $ v Texasu na větrnou farmu.	Google investuje 200 milionů dolarů do projektu Texaské větrné farmy.	5.0
190	Americký generál v Afghánistánu je obecně spojován s Petraeus skandálem	Vrchní americký generál je spojován s Petraeus skandálem	3.8
191	Syrské síly se přesunují opět ovládnout Aleppo	Syrský režim se pokusí opět ovládnout město Aleppo	4.4
192	& Gt; Kubánský Castro předpokládá CELAC předsednictví.	Kubánský Castro převezme předsednictví CELAC.	5.0
193	5 zabitých při havárii autobusu v Belgii.	Teenageři mezi 5 mrtvými při autobusové nehodě v Belgii.	3.8
194	20 členný parlamentní sněm, obchodní tým odjíždí do Indie	Ministr obchodu si bere volno	0.0
195	Rusko dává počáteční OK pro zákaz amerických adopcí.	Rusko dává počáteční schválení zákazu adopcí.	3.8
196	Bombový výbuch otřásl nákupním centrem v Nigérii, 12 mrtvých	Bombový výbuch před shromážděním indické opozice zabil 4 osoby	1.4
197	Obama se chystá obsadit radu FED, Fischera odsouvá na druhou pozici	Obama vyjadřuje ochotu mluvit s GOP o rozpočtu	0.4
198	Egyptský vůdce ukládá výjimečný stav do 3 měst.	Egyptský prezident vyhlašuje stav nouze ve třech městech.	5.0
