	sentence_1	sentences_2	similarity
199	Jižní Korea říká, že Severní Korea vystřelila rakety.	Severní Korea vystřelila rakety s krátkým dostřelem.	2.2
200	Angela Merkelová směřuje k těsné výhře v německých volbách	Nový Malawijský prezident složil slib po sporných volbách	0.4
201	Jeden mrtvý při kolapsu budovy ve Filadelfii, další vytaženi z trosek	Šest potvrzených mrtvých po kolapsu budovy ve Filadelfii	3.2
202	Policie zabila střelce, našla tři další mrtvé v Colo. Z domova.	4 mrtví poté, co si policie držela odstup, střelec se zabarikádoval v americkém domě.	2.0
203	Irák podporuje zákrok Egypta proti příznivcům Morsiho.	Irák podporuje zákrok Egypta proti příznivcům Mohameda Morsiho.	4.8
204	Vojenské letadlo havarovalo v jižní Francii: úřady	Vojenské letadlo havarovalo v jihovýchodním Turecku, 1 mrtvý	1.0
205	Severní Korea provádí třetí nukleární test.	Severní Korea potvrzuje třetí nukleární test.	4.6
206	Írán odmítá tvrzení o chlorových bombách	Írán odmítá podezření MKO na nukleární arzenál	2.4
207	Čína pokračuje v investičních rozhovorech s Amerikou.	Čína a Tchaj-wan vedou historické rozhovory.	0.8
208	Thajská policie použila slzný plyn proti demonstrantům.	Brazilský vůdce přerušil mlčení o protestech.	1.0
209	Nahrávací nastavení jihozápadně po tepelné vně se ukázalo fatální.	Minimálně jeden mrtvý, 40 hospitalizovaných na jihozápadě po tepelné vlně.	4.0
210	Bomba v autě zabila jednoho a zranila pět lidí v Benghází.	Bomba v autě zasáhla libyjské ministerstvo zahraničí v Benghází.	3.0
211	Paul Walker, hvězda 'Rychle a Zběsile', zemřel při autonehodě	Paul Walker (40) zemřel: Hvězda Rychle a Zběsile zemřela při autonehodě	4.8
212	5 věcí, které je dobré vědět o olympijských hrách v Soči	7 věcí, které je dobré vědět o Ethanolu	0.0
213	38 talibanských militantů zabito v Afghánistánu.	Talibán zaútočil US základnu v Afghánistánu	1.2
214	Světový pohár živě: Francie Německo 0-0. 	Světový pohár živě: Německo Ghana 0-0.	1.4
215	2 mrtví v Bangladéši při střetu v průběhu popravy vůdce Jamaata.	Bangladéšský islamistický vůdce popraven.	2.0
216	Podle Sýrie zabil sebevražedný atentátník 10 v Damašku	Damaškový bombový útok zabíl 10	4.0
217	Izrael provádí pozemní ofenzívu v Gaze	Izrael spustil pozemní ofenzívu v Gaze	4.8
218	Dnes v historii 23. dubna.	Dnes v historii 21. ledna.	1.4
219	Vůdce pákistánského Talibánu Hakimullah Mehsud byl zabit při náletu bezpilotního letounu.	Pákistánský Talibán 'volí nového vůdce' se slibem 'nebývalé' pomsty	1.2
220	Jerry Sandusky byl shledán vinným ze sexuálního zneužívání dítěte	Sandusky byl shledán vinným ze sexuálního zneužívání dítěte	3.8
221	Skauti odložili rozhodnutí o přijmutí homosexuality.	Skauti z Ameriky odložili hlasování o zavedení zákazu gayů.	5.0
222	Hrithik Roshan a manželka Sussanne se rozloučí.	Hrithik Roshan a Sussanne se rozvedou.	4.4
223	NATO: 2 mezinárodní jednotky byly zabity v Afghánistánu	Tři jednotky NATO byly zabity v Afghánistánu v jeden den	2.2
224	Ozbrojenec zabil 9 zahraničních turistů a jednoho Pákistánce.	Ozbrojenec zabil 11 zahraničních turistů v Pákistánu.	2.8
225	Intel McAfee kupuje cloudový síťový Firewall Specialist Stonesoft za 389M $ v hotovosti.	McAfee získal firewall Stonesoft za 389 milionů $.	3.8
226	Obama rozhodl o Sýrii na poslední chvíli	Obama prosazuje omezené vojenské akce v Sýrii	2.0
227	Vlna bombových útoků zabila 15 lidí v Iráku.	Automobilové bomby zabily nejméně 49 lidí v Iráku.	2.2
228	Nové silné zemětřesení zasáhlo poškozený region Pak	Zemětřesení o síle 6.8 v poškozeném pákistánském regionu.	4.4
229	Rusko tvrdí, že zmařilo možný teroristický čin.	Rusko tvrdí, balistické objekty vystřeleny v Meditarenu.	1.4
230	Yacimovich žádá kabinet, aby schválil propuštění palestinských vězňů.	Izrael souhlasí s propuštěním 104 palestinských vězňů.	2.0
231	"PC David Rathband: obavy dvojčete pro jeho ""nejlepšího kamaráda"""	David Miliband: můj bratr a návrat ke staré labouristické straně	0.2
232	Uplyna lhůta bez nových sankcí Íránu	EU se přiblížila k udělení nových sankcí proti Íránu	1.6
233	Romney označil Paula Ryana jako spoluběžícího	Romney jmenoval Ryana jako spoluběžícího	5.0
234	Nejsilnější tajfun v roce 2013 udeřil na Filipínách.	23 pohřešovaných když tajfun Utor zasáhl Filipíny.	2.2
235	FAA pokračuje v zákazu US letů do Tel Avivu.	FAA ruší zákaz U.S. letů do Tel Avivu.	1.8
236	Americké volby: Mitt Romney připouští porážku když Barack Obama vyhrává v druhém kole	Romney při telefonickém hovoru připouští zvolení Obamy	4.0
237	Zpráva presidenta NA Äôse o dni svobody světového tisku	Pákistán se připojil ke dni svobody světového tisku	2.2
238	Rebelové v Syrské vesnici Alawite zabili 21 civilistů	Bomba v Afgánistánu zabila 18 civilistů	1.2
239	Akcie v pondělí pod dohledem.	Akcie ve čtvrtek pod dohledem.	3.0
240	FAA pokračuje v zákazu amerických letů do Tel Avivu	FAA zpřísní zákaz amerických letů do Tel Avivu	1.8
241	Jak zatýkací akce pokračuje, Izrael zatýká 37 Palestinců	Izrael kritizuje palestinský postoj k osadníkům	1.2
242	Demoliční práce na stadionu v Don Valley začínají.	Demoliční práce začne na stadionu.	3.2
243	Syrské síly obsadily pevnost rebelům	Sýrská armáda na severu zabrala pevnost rebelům	4.0
244	7 mrtvých při střelbě v křesťanské škole	5 zraněných při střelbě ve škole v Ohiu	1.4
245	Hamás, zákaz smíšených škol vstoupí v platnost.	Hamás, zákaz smíšených škol.	4.2
246	Při útoku v Iráku bylo zabito 7 osob	Při sérii útoků zahynulo v Iráku 16 osob	3.0
247	V Pákistánu byli zabiti 3 čínští turisté	V jižní Nigérii bylo zabito sedm únosců	0.4
248	Tokio bude hostit olympijské hry 2020.	Zápas přidán na olympijské hry v Tokiu 2020.	1.4
249	Kalifornie požár: 1900 na linkách, jak hasiči pracují na omezení škod (+ video).	Kalifornie požár roste, ale úředníci říkají, že hasiči dělají pokrok.	3.8
250	Ministři zahraničí EU zemí diskutují zbrojní embargo Sýrie	Ministři zahraničí EU zemí hledají řešení na sýrijských zbraní	3.6
251	Pohřeb po Bostonském bombovém útoku byl oprávněný	Připraven jít domů: Poslední oběť Bostonských bombových útoků opustila nemocnici	1.0
252	Akciový index futures vykazuje nižší start	Akciový index futures signalizuje předčasné ztráty	4.4
253	Čínské akcie ve středu otevřely vysoko	Americké akcie otevřou výše i přes špatný odhad HDP	0.8
254	Obama se přesune k naplnění federálního úřadu, Fischer bude číslo 2.	Obama je ochotný mluvit s GOP o rozpočtu.	0.4
255	4 lidé zabiti Americkým dronem v Pákistánu	Útok Americkým dronem v Pákistánu zabil 3 lidi	3.0
256	Zatčený ruský vrah popírá vazby na Pussy Riot	Desítky zadržených protestantů v ruské televizní věži	0.8
257	ElBaradei se stal egyptský premiérem	Liberál ElBaradei byl jmenován egyptským premiérem, islamisté pláčou	3.2
258	Počet obětí havárie italského autobusu stoupá.	Starbucks uvolňuje cestu k vysokoškolskému titulu pro zaměstnance.	0.0
259	Liberál ElBaradei se stal předsedou Egyptské vlády.	ElBaradei jmenován Egyptským předsedou vlády, islamisté protestují.	3.2
260	Živě ze světového poháru: Francie 0-0 Německo	Živě ze světového poháru: Něměcko 0-0 Ghana	1.4
261	Jihokorejský prezident lituje reakce trajektu.	Severokorejský prezident lituje katastrofy trajektu.	4.6
262	Venezuela vyloučí tři diplomaty USA	Venezuela vyloučí 3 diplomaty USA	5.0
263	Čínský juan posílil na 6,2689 oproti dolaru.	Čínský juan oslabil na 6,2816 oproti dolaru.	3.0
264	Syrské síly střílely na autobus s civilisty	Syrské síly, rebelové se střetli v blízkosti Turecka	0.8
265	Náhled akcií po pondělní uzávěrce	Náhled akcií v pondělí	4.0
266	Malawi potvrdila smrti prezidenta	Malawi potvrdila smrt prezidenta Mutharika	4.0
267	Silvestera Stalloneho syn Sone Sage byl nalezen mrtvý v LA	Syn Sylvestera Stalloneho nalezen mrtvý doma	4.2
268	Rusko odhaluje vazbu na olej v Pacifiku za 30 miliard $.	Rusko odhaluje vazbu na olej v Pacifiku za 25 miliard $.	3.4
269	Ukrajinský premiér odstoupí uprostřed protestů.	Turecký premiér chce tvrdě zasáhnout proti protestantům.	0.6
270	Bomba na silnici zabila 10 afghánských civilistů: policie	Bomba na silnici zabila 5 afghánských policistů	2.6
271	Střelba v Chicagu ukazuje mezery v posílení policie	Střelba v Chicagu ukazuje mezery v posílení policie	5.0
272	Útok amerického dronu zabil 5 ozbrojenců v Pákistánu	Útok dronem zabil čtyři podezřelé ozbrojence v Pákistánu	3.0
273	23 lidí zabito při bombardování aut v Iráku.	10 lidí zabito při bombovém útoku v Iráku.	1.6
274	Izraelci, Palestinci se domlouvají na výměně vězňů.	Izraelští zákonodárci vyzývají k prozkoumání případu vězně X.	1.2
275	Severní Korea odložila rodinná setkání s Jihem.	"Severní Korea ""odloží"" rodinné svazky s Jižní Koreou."	5.0
276	Egypt spouští útok proti Sinaijským radikálům	  Egypt zahajuje útok proti Sinaijským povstalcům	5.0
277	Detroit je zodpovědný za ochranu proti bankrotu: soudce USA.	Detroit je zodpovědný za ochranu proti bankrotu.	4.6
278	Až 21 lidí, většinou cizinci, zabito při sebevražedném útoku v Kábulu.	Brit mezi mrtvými v Kábulu při sebevražedném útoku.	2.8
279	Počet mrtvých způsobených zřícením budovy v Jižní Indii vyrostl na 47.	Při zřícení budovy v Jižní Indii zemřeli 4 lidé.	2.8
280	Nejstarší muž světa zemřel ve 116 letech	Japonsko: Nejstarší muž světa jaký kdy žil zemřel ve 116 letech	4.6
281	Bydlení nastartuje na 6,8% v květnu.	Květnové bydlení nastartuje na 6,8%.	4.6
282	Imran obviňuje konkurenta z vraždy kolegy	Pákistánský Imran obviňuje konkurenta ze zabití člena strany	4.2
283	Carney nastavuje vysokou laťku pro změnu na BoE.	Carney nastavuje vysokou laťku na změny v Bank of England.	5.0
284	Rouhani vede v Íránu v prezidentských volbách - předběžné výsledky.	Rouhani vede po počátečním sčítání v Íránu.	4.2
285	Ozbrojenci v Pákistánu zabili devět turistů	Ozbrojenci útočí na hotel v odlehlé pákistánské provincii	3.2
286	Vozidla vzplanula ve zhrouceném tunelu v Japonsku.	"Vozidla ""ponechána hořící"", kouř vychází z Japonského tunelu."	4.2
287	Palestinci v rozporu s izraelskými silami ve West bance, Jeruzalém.	Palestinci v rozporu s bezpečnostními silami ve W. bance.	4.2
288	Nejméně 6 mrtvých při srážce autobusu a vlaku v Kanadě	Nejméně 6 mrtvých při vlakové nehodě v Paříži	2.2
289	Požár v Pekingu zabil 10 lidí.	Požár v Pekingu zabil deset lidí.	5.0
290	Egypt hlasuje o nové ústavě.	Egypťané hlasují o nové ústavě.	4.8
291	Bradley Cooper a JJ Abrams v jednání o natáčení životopisného filmu Lance Armstronga.	Bradley Cooper v rozhovorech, kdo bude hrát Lance Armstronga v životopisném filmu.	4.0
292	Silný smog zasáhl severočínské město, letový provoz zastaven 	Silný smog zasáhl severočínské město, letový provoz zastaven	5.0
293	Bangladéšský vůdce opozice odsouzen k smrti za válečné zločiny.	Bangladéš: Uprchlík odsouzen k smrti tribunálem pro válečné zločiny.	3.6
294	Spojené státy obnovily, po zveřejnění, hledání ztracených Britských námořníků.	Pobřežní hlídka spojených států zastavila hledání Britských námořníků.	2.4
295	3 mrtví a 4 pohřešovaní při stavební nehodě v centrální Číně	Jeden mrtvý a 8 pohřešovaných při lodní nehodě ve Vietnamu	0.4
296	Rakušani našli nahromaděných 56 ukradených lebek v domácím muzeu.	Ukradené lebky nalezeny v domácím muzeu.	3.4
297	UK je ostražitá ohledně Syrských chemických zbraní.	Západ zvyšuje dohled nad Syrskými chemickými pohledávkami.	3.8
298	Sebevražedný atentátník zabil 3 lidi na americké základně v Afghánistánu.	Sebevražední atentátníci zaútočili na americkou základnu v Afghánistánu.	2.8
299	Brahimi se omlouvá Sýrii za nedostatečný mírový pokrok	Prostředník se omlouvá Syřanům za nedostatečný mírový pokrok	3.8
300	Údajný policejní zabiják zabit střelou do hlavy.	Údajný policejní zabiják zabit výstřelem.	4.2
301	Civilista, uprchlík zabit v Sýrii, napsala NGO	Syrský ozbrojenec zabil tři Syrské strážníky: NGO	1.0
302	Egypt zahájil ofenzivu proti sinajským militantům.	Egypt zahájil ofenzivu proti sinajským povstalcům.	5.0
303	Aktualizace světových zpráv, co potřebujete vědět	Dělnická sazba daně 50p: co potřebujete vědět	0.6
304	Červený kříž vyjednával pozastavení bojů v Sýrii k poskytnutí pomoci raněným	Červený kříž vyjednává příměří v Sýrii, aby poskytl pomoc	4.4
305	3 mrtvý, 4 pohřešovaní ve střední Číně po konstrukční nehodě.	Jeden mrtvý, 8 pohřešovaných ve Vietnamu po lodní nehodě.	0.4
306	Rusko odsuzuje severokorejský jaderný test.	Jižní Korea potvrzuje, že Severní Korea provedla sporný třetí jaderný test.	1.2
307	Knihy pomáhají dětem mluvit o novinkách z Bostonského maratonu.	Zpráva o dvou explozích z Bostonského maratonu na cílové čáře.	0.8
308	Thajská vláda svolala bezpečnostní složky k potlačení protestů v Bangkoku.	Thajské bezpečnostní složky zůstávají v kasárnách, protože protesty se uklidnily.	1.8
309	Úřady izraelské vlády, nové vyrovnání před projednáním.	Izrael vylepšuje nová vyrovnání, doma před mírovým projednáním.	4.8
310	Starosta říká, že za 14 mrtvých v Texasu může výbuch hnojiva na rostliny.	Záchranáři hledají přeživší po výbuchu hnojiva na rostliny v Texasu.	1.4
311	Volební místnosti otevřely při volbě ukrajinského prezidenta	Spuštění nominací od e.TV Ghana na cenu největší vlivnosti	0.2
312	Van der Sloot se bude ženit ve vězení.	Joran Van Der Sloots se chce ženit v Peruánském vězení.	4.0
313	Prezident Alžírska je léčen po mrtvici: státní média	Bulharský prezident se snaží zabránit volebnímu debaklu	0.4
314	Čínské akcie ve středu klesly.	Čínští studenti napadeni ve Francii.	0.0
315	EU ministři jsou odhodlaní vyřešit skandál s koňským masem.	EU ministři vedou a pořádají krizové rozhovory ohledně skandálu s koňským masem.	4.4
316	Romney, Obama střet o dani, ekonomika poprvé v debatě	Obama a Romney se staví k první debatě	2.2
317	Pákistánský Mušaraf obviněn z vraždy Bhuttova	Pákistánský Mušaraf obviněn z Bhuttovi smrti	4.8
318	Muž zatčen po zastřelení policisty v Leedsu.	Námořnictvo naléhá na vypuzení důstojníka, který fingoval smrt.	0.4
319	Mandela hospitalizován, reaguje na léčbu.	Mandela hospitalizován poté, co ukončil řeč.	3.4
320	Asteroid sviští mezi Zemí a satelity.	Asteroid prolétá kolem Země.	4.4
321	Proslulý španělský flamengo-kytarista Paco de Lucía zemřel	Španělský flamengo-kytarista Paco de Lucia zemřel ve věku 66ti let	4.6
322	Al-Káida tvrdí, že zajala 70 jemenských vojáků v bitvě u Abyan	Střety s Al-Káidou zabily 35 vojáků v Jemenu	1.4
323	Šinzó Abe byl zvolen japonským premiérem.	Šinzó Abe je japonský premiér.	4.2
324	8 lidí zatčeno po smrtícím kolapsu budovy v Bangladéši.	Čtyři lidi zatčeni, počet obětí Bangladéšské budovy vzrostl na 352.	2.4
325	Syrská občanská válka v obrazech	Mírové rozhovory v syrské občanské válce jsou v ohrožení kvůli vměšování Íránu	1.2
326	Vzpomínáme 50. výročí smrti JFK.	Na 50. výročí smrti JFK, postavil Dalas první památník.	4.0
327	Británie ukončila továrny na koňské maso, skandál dosáhl až do Francie.	EU ministři se rozhodli vyřešit skandál s koňským masem.	3.0
328	FAA zpřísní zákaz amerických letů do Tel Avivu	FAA zpřísní zákaz amerických letů do Izraele	4.0
329	Obama udělal rozhodnutí na poslední chvíli v syrském schválení.	Obama zvažuje limitovanou vojenskou akci v Sýrii.	2.0
330	Střelec mezi sedmi mrtvými po střelbě v apartmánu na Floridě.	Střelec mezi sedmi mrtvými po přestřelce v apartmánu na Floridě.	5.0
331	Mluvčí Knessetu: Obamovo znovuzvolení je pro Izrael špatné	Sedm států si stěžuje na zákon kontroly porodnosti od Obamovy vlády	0.4
332	Ohledně smrti Diany byla polici předána nová informace, vztahující se k smrti princezny Diany a Dodi Fayed, zdá se, že obsahuje možné tvrzení, že byli zavražděni.	Nové informace ohledně smrti Diany a Fayed, smrt princezny Diany a Dodi Al Fayed jsou znovu vyšetřovány policií, po obdržení informace.	3.5
333	Severní Korea odmítá vyjednávat.	Severní Korea odpálila 2 rakety.	1.2
334	Počet obětí filipínského zemětřesení stoupl na 185	Počet obětí filipínského zemětřesení stoupl na 144	3.6
335	Indie a USA budou příští týden jednat o Číně	Egypt bude příští týden jednat s MMF ohledně půjčky	1.4
336	Tropická bouře Isaac zvyšuje nároky nezaměstnaných	Tropická bouře Joyce se formuje, stále zůstává v otevřeném Atlantiku	1.0
337	Vojenské letouny zabili 38 bojovníků v náletech na Severo-západní Pákistán.	Americký dron zabil 4 bojovníky v Pákistánu.	3.2
338	Matt Smith po 4 letech opustí Doctor Who.	Matt Smith ukončí BBC Doctor Who.	4.0
339	US špionážní složky obviňují NSA z úniku informací.	US špionážní složky obviňují Snowden kvůli úniku informací.	3.8
340	Spojené státy tvrdí, že jsou připraveny na pomoci slepému čínskému aktivistovi	USA jsou připraveny pomoci čínskému aktivistovi: oficiálně	3.4
341	Armádní stíhačka spadla do budov ve Virginii, šest zranila	Armádní stíhačka spadla do apartmánů ve Virginii, 9 raněných	3.2
342	Nálet Nato zabil dvě afghánské děti.	Voják Nato zemřel v Afghánistánu.	1.2
343	Macuaský gamblerský příjem dosáhl rekordu $38 milionů v roce 2012.	Macauský gamblerský příjem dosáhl rekordu $38 milionů v roce 2012.	5.0
344	Snowden získal uprchlický dekret od Ekvádoru	Snowden připravený odletět z Moskvy	1.2
345	Delhi, oběť skupinového znásilnění, bita a otrávena.	Delhi, skupinové znásilnění, verdikt opět odložen.	1.8
346	Tech Sector Heats Up: Google a IBM vykazují vysoké zisky.	Akcie Googlu rostou přes 1000$ pevného zisku.	2.6
347	Voják z NATO byl zabit při afghánském útoku	Voják z NATO byl zabit v Afghánistánu	3.8
348	Turecká protidemonstrační policie použila slzný plyn na protestanty na Taksimském náměstí.	Turecká protidemonstrační policie vstoupila na Taksimské náměstí.	3.0
349	Sýrie odsuzuje izraelské letecké údery.	Série smrtících útoků zasáhla v Iráku.	2.0
350	Indický ministr financí se přestal ucházet o prezidenta	Julian Assange se plánuje ucházet o post do australského senátu	0.2
351	Na venezuelské volební protestanty použila policie slzný plyn	Chavez, Madurovův dědic, vyhrál venezuelské prezidentské volby	0.6
352	Schumacher v kómatu po lyžařské nehodě.	Michael Schumacher stále v kómatu bojuje o život po nehodě na lyžích.	4.0
353	Čínský ledoborec změnil kurz k podezřelým objektům	Čínské průzkumné letadlo našlo ‚podezřelé objekty‘	2.0
354	Obyvatelé v okolí Gazy dostali pokyn zůstat v blízkosti úkrytu	Bestův velký den přinesl Západním Indiánům výhru	0.0
355	Malala, Snowden a Bělorusové postoupili do dalšího kola o Sakharovu cenu.	Uprchlík Snowden postoupil do dalšího kola o Cenu za lidská práva Evropy.	3.6
356	Havárie letadla v San Francisku v kostce.	Dva mrtví, 181 zraněných při leteckém neštěstí v San Francisku.	1.2
357	Ryanair hlásí rekordní zisky, ale varuje, že růst pravděpodobně letos zpomalí.	Stansted: Ryanair hlásí 13% nárůst ročního zisku, ale varuje před zpomalením růstu v letošním roce.	3.4
358	Tokijské akcie klesly o 0.26 procenta.	Tokijské akcie klesly o 1,53%.	3.0
359	Irácký bombový útok zabil minimálně 13 lidí.	Irácká bomba v autě zabila minimálně 14 lidí.	3.0
360	10 mrtvých a pět zraněných si vyžádala dopravní nehoda v jihozápadní Číně.	5 zraněných si vyžádala autonehoda ve městě Gaza.	1.0
361	12 lidí zabito při nehodě autobusu v Pákistánu.	10 lidí zabito při silniční nehodě v severozápadním Pákistánu.	3.2
362	Tři Tibeťané se obětovali v západní Číně: zpráva	7 Tibeťanů se obětovalo v Číně	2.4
363	Assad říká že žoldáci mají na svědomí Syrské nepokoje	Assad obviňuje USA z eskalace syrského povstání	3.33333333333333
364	Ozbrojenci unesli sedm zahraničních pracovníků v Nigérii.	Sedm zahraničních pracovníků uneseno v Nigérii.	3.4
365	Ozbrojenci v severním Pákistánu zabili 10 zahraničních turistů	Pákistánští islámští radikálové zabili 9 zahraničních turistů a 1 Pákistánce.	2.6
366	Bezpečnostní agentury přitvrzují pro Thatcherovo pohřeb.	Bezpečnostní agentury se obávají nových teroristických hrozeb v Keně.	0.0
367	Akcie Číny otevírají nízko ve středu.	Akcie Číny zavírají nízko v pondělí.	2.6
368	Thajská opoziční strana bojkotovala všeobecné volby.	Thajská opozice vyhlašuje bojkot voleb.	4.8
369	Venezuela vyloučí tři americké diplomaty.	Venezuela vyloučí 3 americké diplomaty.	5.0
370	Severní Korea blokuje přístup do Kaesongu.	Severní Korea slibuje restartování jaderných zařízení.	1.0
371	Izrael propouští palestinské vězně.	Vládní výbor schválí propuštění 26 palestinských vězňů.	3.4
372	Letecký úder zabil jednoho člověka v syrském Hama	Bezpilotního letounu USA zabil jedenáct lidí v Pákistánu.	2.8
373	Střelec zabil osm lidí při druhém útoku v Keni.	Střelec 'zabil 15 lidí' při druhém útoku v Keni.	3.0
374	US varuje Sýrii před chemickými zbraněmi.	U.S. se obává růstu ohledně syrských chemických zbraní.	3.2
375	Skupina čtyř dětí tancujících na dvorku.	Skupina dětí se protahuje na barevných podložkách.	1.6
376	Dva černí psi si hrají na trávě.	Dva černí psi si hrají na travnaté planině.	4.6
377	Skupina teenagerů skáče do vzduchu na pláži.	Skupina mladých lidí, vyskakuje do vzduchu, zatímco jsou na pláži.	4.8
378	Černohnědý pes žvýká velký klacek.	Černobílý pes hrající si v písku.	1.8
379	Chlapec mává dokola prskavkou.	Mladý chlapec točí prskavkou kolem ve vzduchu.	4.4
380	Dva černí psi hrající si v trávě.	Dva psi si hrají v trávě.	4.2
381	Několik lidí v noci posedává okolo ohně.	Skupina lidí v noci postává a posedává kolem na zemi.	2.6
382	Dva chlapci skáčou do bazénu.	Dva chlapci jsou ve vzduchu při skákání do vnitřního bazénu.	4.2
383	Dvě různá plemena hnědých a bílých psů si hrají na pláži.	Dva psi hrající si v písku na pláži.	4.0
384	Muž a dvě ženy oblečeni v upířích kostýmech.	Muž a dvě ženy oblečeni v kostýmech.	3.4
385	Dva chlapci, jeden s kloboukem, na hřišti.	Chlapec v béžovém klobouku se směje, zatímco sedí poblíž vybavení hřiště.	2.4
386	Dva psi hrající si ve sněhu.	Dva psi si hrají ve sněhu.	5.0
387	Žena drží dítě, zatímco muž se kouká na jiného muže držícího dětské hodinky.	Žena stojí v obchodě s rukama venku, zatímco jiná žena drží kameru.	0.4
388	Bílý načechraný pes běží v čistě bílém sněhu.	Načechraný, bílý pes běžící ve sněhu.	4.6
389	Žena držící noviny.	Muž na kolečkových bruslích na kovové tyči.	0.0
390	Skupina mužů hrajících na dechové nástroje.	Skupina chlápků hraje venku na nástroje.	3.4
391	Dvě dívky na břehu pozorují lidi v rybářské lodi.	Dva muži, jeden v červeném a jeden v bílém hrající basketbal.	0.0
392	Snowboardista skáče do vzduchu.	Snowboardista letí vzduchem.	4.0
393	Bílý pes s červenýma ušima běží ve sněhu.	Mokrý černý pes s červeným obojkem je v řece.	0.6
394	Holčička a chlapec se drží za ruce na lesklé skluzavce.	Holčička v kašmírových šatech běží přes písečné hřiště.	0.4
395	Děti hrají fotbal na hřišti.	Tři chlapci hrající fotbal na hřišti.	4.2
396	Skupina mužů jde a visí na lanech.	Skupina mužů hraje vysokoškolský fotbal.	1.4
397	Muž skáče z jedné střechy na druhou.	Mladý muž skáče z jednoho balkónu na druhý.	2.8
398	Černoch v černočerveném spí na lavičce s otevřeným deštníkem.	Muž sedící na lavičce v parku dávající si šlofíka s otevřeným deštníkem, který ho chrání před sluncem.	3.6
399	Jedno dítě tahá jiné, sedící v červeném voze, podél písku.	Chlapec táhne jiného chlapce ve směšném klobouku ve vozítku.	3.4
400	Dvě štěňata hrající si s plastovou taškou.	Dva psi hrající si na dvorku.	3.0
401	Sova má své křídla nahoře a roztažené v průběhu dne.	Pták v průběhu letu má své křída roztažené.	2.4
