	sentence_1	sentences_2	similarity
660	Černý pes běží za bílým psem ve sněhu.	Černý pes pronásleduje hnědého psa sněhem.	1.8
661	Muž ujíždí na kitesurfu pryč od kamery.	Muž dělá skysurfing na vodě.	2.8
662	Malý kluk staví nějaké dřevěné bloky.	Malý kluk s modrým trikem kupí dřevěné bloky.	4.0
663	Černý pes běží v trávě.	Chlapec běžící skrz zelenou trávu.	1.0
664	Malý chlapec a malá dívka hrající si spolu venku.	Mladý chlapec a mladá dívka jdoucí naproti sobě.	2.0
665	Dva lidé sedí na konci doku.	Dva lidé sedící v doku.	4.2
666	Dva psi na dvorku.	Dva psi v potoce.	2.0
667	Muž pronásledoval psa snažícího se dostat skrz plot na hřiště.	Muž, pronásleduje svého černobílého psa na překážkové dráze.	2.2
668	Velký hnědobílý pes běží sněhem.	Bernardýn běžící zasněženým polem.	4.0
669	Malý bílý pes běžící přes trávník.	Běžící malý bílý pes.	3.2
670	Bílo hnědý pes rychle běží skrz trávu.	Velký bílý pes běží v trávě.	3.4
671	Krvavý muž a žena pózují pro obraz.	Muž a teple oblečená žena pózují pro obraz.	2.0
672	Muž a žena jdou s bílým psem na vodítku.	Muž, žena a pes jdou po zpevněné cestě.	4.0
673	Žlutý pes si hraje na travnaté ploše nedaleko kytek.	Dívka se houpe na houpačce.	0.4
674	Chlapec si hraje s nudlí u bazénu.	Chlapec si hraje s pěnovou nudlovou hračkou u bazénu.	4.6
675	Dva velcí hnědí psi běžící sněhem.	Hnědý pes běžící trávou.	2.0
676	Mladý chlapec skáče do bazénu s roztaženýma rukama.	Pes skáče do bazénu na dvorku.	1.2
677	Dívka drží žlutý balónek ve tvaru zvířete.	Dítě drží žlutý balónek.	4.0
678	Dva psi se dělí o hračku v poli vegetace.	Dva snowboardisté jsou ve vzduchu nad sněhem.	0.17
679	Černý pes běží v trávě.	Černý pes běží skrz trávu.	4.8
680	Blondýna v bílém pózuje pro kameru.	Černobílý pes běží s otevřenou tlamou.	0.0
681	Pes běží skrz pole a pronásleduje míč.	Dítě běží skrz trávu.	0.2
682	Dvě dívky sedí před sochou.	Dvě blondýny sedí vedle sochy.	3.8
683	Mladý chlapec v červeném zimním kabátu drží a jí tyčinku.	Mladý chlapec v červeném kabátu jí čokoládovou tyčinku.	4.0
684	Dívka v oranžovém zapaluje svíčku.	Dívka v oranžovém tričku zapaluje svíčku.	4.0
685	Bílý pes běží skrz pole žlutých kytek.	Pes s červeným obojkem běží uprostřed zimy v lese.	1.6
686	Nemluvně sedící na lůžku se se natahuje, aby se dotklo obličeje staršího chlapce.	Obličeje nemocně vypadajícího chlapce, se dotklo batole.	2.2
687	Pes setřásající vodu.	Pes setřásá vodu.	5.0
688	Mladý chlapec běžící po chodníku.	Černý pes běžící podél oceánu.	0.5
689	Mladé dítě, se klouže po oranžové skluzavce.	Malý chlapec v džínové kombinéze se klouže po oranžové skluzavce.	3.67
690	Černobílý pes běžící mezi nějakými červenobílými stožáry.	Černobílý pes stojící na zadních nohách v obýváku.	1.6
691	Tři jednotlivci na lyžích pózují za cedulí s nápisem zákaz lyžování.	Tři lidé na lyžích stojí za cedulí s nápisem zákaz lyžování.	4.4
692	Muž v bílém obleku jde ulicí držící noviny.	Muž v bílém obleku jde venku držící noviny.	4.6
693	Černobílý pes plavoucí v čisté vodě.	Malý černobílý pes plave ve vodě.	4.2
694	Dva závodní psi, běží v blátě.	Muž jde do vody.	0.0
695	Mladý chlapec skákající do bazénu, kde je zákaz skákání.	Chlapec skáče do bazénu, zatímco plavčík dává pozor.	3.2
696	Černý pes s modrým obojkem běží ve sněhu.	Černý pes v modrém obojku běží sněhem.	5.0
697	Černobílý pes běžící vodou.	Černobílý pes běžící trávou.	2.6
698	Pes běží naproti kameře.	Hnědobílý pes běžící na trávě.	0.8
699	Tři psi běžící v blátě.	Žlutý pes běží po blátivé cestě.	1.4
700	Chlapec houpající se na houpačce.	Dívka je na houpačce.	2.4
701	Skupinka mladíků plave v jezeře.	Mnoho dětí si hraje a plave ve vodě.	4.4
702	Modrý a bílý fotbalový tým hrající proti sobě.	Žena nahoře bez s namalovaným obličejem je pokrytá blátem.	0.0
703	Dva psi běžící ve sněhu.	Pes ležící ve sněhu.	2.2
704	Zlatý pes běží sněhem.	Smečka psího spřežení táhnoucí sáně městem.	1.4
705	Hnědý pes se chystá chytit zelený létající talíř.	Hnědý pes čeká, až zelený létající talíř klesne, aby ho mohl chytit.	3.8
706	Skateboardista na ulici ve městě.	Skateboardista ve vzduchu na velké, venkovní rampě.	2.6
707	Čtyři děti na stoličkách u večeře.	Čtyři děti sedí na vysokých barových stoličkách u žlutošedého baru.	3.6
708	Chlapec a bílý pes běžící v travnatém poli.	Chlapec a pes běžící na trávě.	4.4
709	Černobílý pes plave ve velkém zeleném jezeře.	Černý pes rychle běží v mělké vodě.	2.2
710	Dva velcí psi si hrají v travnatém poli.	Dva bílí psi společně běží.	2.2
711	Dva chlapci hrající hru s fotbalovými vlajkami.	Dva chlapci hrají hru s fotbalovými vlajkami.	5.0
712	Hnědočerný pes sprintuje přes sníh.	Černý pes rychle běží po zemi.	2.8
713	Muž s batohem se dívá doleva.	Dospělý muž s batohem jde a dívá se doleva.	3.8
714	Starší muž v modrém tričku drží umělecké plátno.	Černoch jde ve velkém městě vedle budovy.	0.0
715	Dva hubení chlapci hrající si s pískem ve vodě.	Dva psi oklepávají vodu.	0.4
716	Černobílý pes má doširoka otevřenou tlamu.	Černobílý pes, skáče do sněhu.	1.8
717	Malý pes běží přes překážkovou dráhu.	Malý pes skákající přes překážku.	3.8
718	Dívka skáče v skákacím hradě.	Dívka v kostýmu tancuje jako muž.	1.2
719	Hnědý pes běžící skrz les.	Hnědý pes běží skrz trávu.	3.2
720	Skupina lidí stojí u okna a něco sleduje.	Skupina lidí stojí a čeká, až něco uvidí.	3.4
721	Pes skáče přes překážku na soutěži hbitosti.	Pes skákající přes překážkovou dráhu.	4.4
722	Tři závodící lidi na bruslích.	Tři bruslaři za rohem.	3.2
723	Bílý a černý chlapec stojí a mají ruce okolo toho druhého.	Dva mladí chlapci, jeden bílý a jeden černý, stojí a objímají se.	4.8
724	Dvě soutěžící provádí jejich psi na psí show.	Dvě ženy provádí jejích psi na psí show.	4.8
725	Dva muži na straně člunu.	Muž s dlouhými vlasy a s bradkou leží v trávě.	0.0
726	Hnědobílý pes chytá tenisák stojící na zadních nohách.	Hnědobílý pes nese klacek v tlamě.	1.8
727	Hnědý pes v běhu na trávě.	Hnědý pes běží trávou.	4.8
728	Mokrý černý pes s červeným obojkem je v řece.	Černý pes s červeným obojkem brodící se vodou.	4.0
729	Člověk jede na kole po stezce vedle lesa.	Malé dítě v žlutém tričku drží ruce na bocích.	0.4
730	Žena v černých šatech se usmívá před stříbrným nákladním autem.	Dívka oblečená v černém topu se usmívá a za ní je stříbrné nákladní auto.	3.6
731	Dívka hrající si v louži s bosýma nohama.	Dítě si hraje se dvěma bílými a černými husami.	0.6
732	Dva lidé se procházejí u oceánu.	Dva muži v ovčí vlně a v kloboucích dívající se do kamery.	0.4
733	Dvě malé dívky v růžové tancují.	Dvě dámy běžící pro zdraví na cestě v blízkosti nábřeží.	0.0
734	Dvě děti cákající ve vodě.	Dva delfíni skákající do vody.	1.4
735	Pes je na pláži kousek od míče.	Chlap jde na basketbalové hřiště dočasně vyřazené z provozu.	0.6
736	Pes skáče přes hnědou trávu.	Dva psi skáčou přes trávu.	2.6
737	Žena hrající si se dvěma chlapci v parku.	Žena a tři děti si hrají v parku.	3.2
738	Pes se vynořuje z vody s klackem v tlamě.	Pes běží naproti kameře s klackem v tlamě.	2.4
739	Tři psi hrající si ve sněhu.	Chlapec si hraje v písku.	0.8
740	Žena v džínách hraje video hru před velkou obrazovkou.	Muž a žena pózují pro fotografa před postelí posypanou žlutými květinami.	0.4
741	Dva lidé jdoucí po pobřeží při západu slunce.	Dva lidé jdoucí po pláží při západu slunce, aby varovali skupinu lidí.	3.0
742	Muž v obleku tancuje s mladou dívkou před publikem.	Žena visí na modré látce, která drží na stromu.	0.2
743	Tři děti hrající si na podlaze s hračkami.	Tři děti sedící na podlaze hrající si s několika hračkami.	4.2
744	Pes nese vodítko v tlamě.	Načechraný pes nese černé vodítko v tlamě.	4.2
745	Muž v džínách si hraje s míčem, zatímco žena stojící poblíž se dívá pryč.	Muž váže červenou pásku okolo ruky jiného muže na ulici.	0.0
746	Černý pes běží sněhem.	Černohnědý pes běží sněhem.	4.0
747	Žena v růžových bikinách leží na lehátku přikrytém růžovým ručníkem.	Žena v bílém tričku a černé sukni na tenisovém kurtě.	1.4
748	Lyžař padá do sněhu.	Lyžař padá obličejem do sněhu.	4.0
749	Pes s červenou hračkou v tlamě.	Hnědý pes nese klacek v tlamě.	2.2
750	Dva hokejoví hráči zápasící na ledu.	Dva hokejoví hráči zápasí na ledu.	4.8
751	Tři lidé stojí ve venkovní, skleněné stavbě.	Dívka stojí vysoko na plošině překážkové dráhy.	0.4
752	Dva teriéři si hrají na dřevěné podlaze u nich doma.	Dvě štěňata si hrají s červenou gumovou hračkou na hřišti.	1.6
753	Skupina lidí na shromáždění mávající americkými vlajkami.	Dav lidí na venkovní události.	2.4
754	Dva psi běžící přes hřiště.	Dva psi si hrají na hřišti.	4.2
755	Muž v šedém obleku zamykající kolo.	Muž a žena stojící na ulici města.	0.4
756	Dva psi si hrají na dvorku.	Dva psi si hrají na trávě.	4.6
757	Chlapec na skateboardu sjíždí zábradlí u schodů pomalovaných graffiti.	Skateboardista skáče přes překážku před bílým domem.	2.8
758	Bílý pes běží skrz vodu na pláži.	Bílý pes běží skrz vodu na pobřeží.	4.6
759	Muž v černé kožené bundě spí v metru.	Muž v černé kožené bundě, usnul ve veřejném dopravním prostředku.	4.6
760	Pes skákající přes překážku.	Pes skáče přes překážku.	4.8
761	Dva muži nastavují nějaké elektrické zařízení.	Dva psi zápasí na zemi ve sněhu.	0.0
762	Černý pes jde po trávě s klackem v tlamě.	Chlapec drží síť s hadem kousek od země.	0.0
763	Muž a žena foukají bubliny.	Muž a žena v brýlích foukají bubliny.	4.2
764	Dívka běží se psem po suchém poli.	Šedý pes a žlutohnědý pes hrající si na travnatém poli.	2.2
765	Dva psi hrající si ve sněhu.	Dva černí psi ve sněhu.	4.0
766	Skateboardista provádí trik na potrubí.	Skateboardista se snaží udělat trik na domácky vyrobené rampě.	3.2
767	Pes skáče z doku do vody.	Černý pes skáče z doku do vody.	4.0
768	Skupina starších mužů jdoucí ulicí.	Pár jdoucí ulicí.	2.0
769	Pes stojící ve sněhu vedle modrého plotu.	Tří psi si hrají v mělčině vedle skalnatého pobřeží.	2.2
770	Černobílý pes běží přes pole.	Černobílý pes běží v trávě.	4.8
771	Chlapec v černém mává rukama, zatímco ostatní jsou za ním na poli.	Muž v černém tričku jezdí na kolečkových bruslích kolem lavičky ve městě.	0.4
772	Starší žena jede na kole po ulici ve městě.	Starší žena jdoucí do kopce přecházející ulici.	2.0
773	Mladý chlapec mlátí do žlutého míče.	Malý pes skáče přes žlutý paprsek.	0.4
774	Skupina mladých baletek je v tanečním studiu.	Skupina mladých dam v bikinách.	1.4
775	Mladý chlapec v bílém tričku si hraje na travnaté pláni.	Žena si nechává dělat vlasy v salónu.	0.0
776	Žena a muž jsou rozptýleni sluchátky.	Muž a žena odpočívající po cvičení.	1.2
777	Dvě dívky jdoucí v oceánu.	Dvě dívky jdoucí po ulici.	1.8
778	Chrt číslo dva běží po dráze.	Chrt s náhubkem běží po dráze.	4.0
779	Muž a pes se hrají přetahovanou s lanem.	Muž tančí na barevné zdi.	0.4
780	Mokré dítě se třese pod ručníkem u bazénu.	Mokré dítě se třese v ručníku před bazénem.	4.6
781	Bílý pes běží na pláži.	Bílý pes běží po pláži.	5.0
782	Šest psů běžících po písečné pláži.	Šest psů jdoucích vedle pláže.	3.4
783	Muž se drží držadla ve vodě.	Muž se drží držadel ve vzduchu.	3.2
784	Čtyři děti si hrají na trampolíně.	Čtyři děti skáčou na trampolíně.	4.6
785	Bílí pes jdoucí ve sněhu.	Černo žluto hnědý pes jdoucí sněhem.	3.0
786	Bílo hnědý pes běží přes trávu.	Tři psi běží na trávě.	3.2
787	Chlapec jede dolů nafukovací skluzavkou.	Chlapec v červeném se klouže dolů nafukovací dráhou.	3.8
788	Dva psi hrající si s míčem v louži.	Dva psi stojí v louži a jeden má žlutý tenisový míček.	3.8
789	Tři psi si hrají ve vodě.	Tři psi běží ve sněhu.	1.4
790	Dva psi hrající si ve sněhu.	Dvě děti hrající si se psem.	1.2
791	Dívka dělá most na pláži.	Dívka dělající most na pláži.	4.8
792	Loď vplouvá do divoké vody.	Muž na kajaku sjíždí divokou vodu.	2.6
793	Dva psi aportují ve sněhu.	Dva psi si spolu hrají v trávě.	2.2
794	Černo žluto hnědý pes stojící na poli kousek od stromů.	Bílý pes stojí u řeky a oklepává se do sucha.	1.8
795	Dva surfaři jedoucí na malé vlně.	Dva surfaři provádí triky ve vlnách.	3.6
796	Dva lidé jdoucí na pláži při západu slunce.	Dva lidé jdoucí po pobřeží při západu slunce.	5.0
797	Tři psi si hrají v bílém sněhu.	Dva psi si hrají v trávě.	1.6
798	Dvě štěňata hrající si kolem v trávě.	Dva psi zápasí v trávě.	4.0
799	Mladá dívka sedí Santovi na klíně.	Malá dívka sedí Santovi na klíně.	4.8
800	Černobílý pes běží s otevřenou tlamou.	Černobílý pes plave v modré vodě.	2.2
801	Černý pes běžící do vody.	Černý pes běžící vodou.	4.6
802	Mladý chlapec skákající do vzduchu na pláži.	Chlapec skákající do vzduchu na pláži.	4.8
803	Pět mužů ve smokingu jde dolů po schodech.	Pět mužů ve smokingu jde dolů po schodišti.	5.0
804	Muž v červených kraťasech a bílém tričku vykopávající fotbalový míč.	Černý pes na surfu držící červený gumový míč.	0.0
805	Muž a pes na skalnatém mořském pobřeží.	Muž a pes stojící na kamenech vedle vody.	4.8
806	Hnědý pes cachtající se ve vodě.	Čtyři psi cachtající se ve vodě.	2.4
807	Smějící se žena je na pláži pohřbená v mořských řasách.	Dívka v kovbojském klobouku s ovcí na vodítku.	1.0
808	Pes s velkýma ušima drží malý klacek v tlamě.	Štěně s velkýma ušima žvýkající klacek.	3.8
809	Velký hnědý pes skáče skrz vysokou trávu.	Dívka oblečená v modrém tričku běží skrz vědecké centrum.	0.0
810	Dva psi bojující ve sněhu.	Dva psi hrající si ve sněhu.	2.6
811	Hnědý pes je uprostřed řady psů pronásledujících špinavý tenisový míč přes bláto.	Jsou tam dva bílí a jeden hnědý pes pronásledující míč.	2.8
812	Chrt je aktivní na travnatém hřišti.	Skupina kol závodících na dráze.	0.0
813	Dva lidé na motorce a sajdkáře závodí v bahně.	Pes nesoucí dlouhý klacek v tlamě.	0.0
814	Muž v červených plavkách hrající volejbal.	Muž a žena sedící na motorce.	0.0
815	Muž a žena jdoucí kolem obchodu s hudbou.	Muž a žena líbající se před davem lidí.	0.2
816	Muž sedí na vrcholku skalnaté hory.	Člověk vystrkuje hlavu ze stanu na vrcholu hory.	2.4
817	Dva lidé v kombinézách ležící ve sněhu dělající andělíčky.	Dvě dětí ležící ve sněhu dělající andělíčky.	3.8
818	Malá blondýnka stojí před fontánou.	Mladá dívka stojící před fontánou.	4.0
819	Muž stojící na lodi přitahující druhou loď bambusovou holí.	Muž v černém klobouku stojící před cihlovou zdí a značkou.	0.0
820	Muž hraje na bílou kytaru.	Muž hrající na bílou kytaru a zpívající k tomu.	3.2
821	Člověk na lyžích se nechává táhnout psy na horách.	Hnědý pes si hraje s míčem ve vodě.	0.0
822	Dva mladí lidé bez trička, hrající si ve vodě.	Mnoho lidí si hraje ve vodě na pláži.	2.4
823	Detail kolibříka.	Detail letícího kolibříka.	3.6
824	Dva psi si hrají v trávě.	Dva žlutohnědí psi si hrají ve sněhu.	2.6
825	Žena v černých šatech jdoucí po ulici.	Žena sleduje psa, jak skáče ze schodů.	0.8
826	Tři děti zápasí na květinovém koberci.	Tři děti hrající si na podlaze.	3.8
827	Chlapec v červeném skákající do pískoviště.	Pes plavající v rybníku.	0.0
828	Muž a žena dívající se do kamery.	Smějící se muž a žena.	2.33
829	Pes skáče do vody.	Pes skáče do vody.	5.0
830	Hnědý pes běžící špinavou blátivou trávou.	Velký hnědý pes běží venku ve špíně.	3.6
831	Tři psi táhnoucí muže na kole sněhem.	Psi táhnou muže na kole skrz sníh.	5.0
832	Chlapec houpající se na houpačce.	Mladý chlapec houpající se na houpačce.	4.8
833	Černý pes běžící sněhem.	Černý pes běžící vodou.	2.4
834	Miminko v červené čepici sedící v kočárku, drží panenku.	Muž v šedém tričku sedící v poli květin.	0.0
835	Tři děti si venku hrají se senem, házející ho na čočku od foťáku.	Tři mladé děti si hrají se senem, házející ho na fotoaparát.	4.8
836	Černý pes jdoucí vedle bazénu.	Černý pes jde po straně bazénu.	5.0
837	Lezec stojí na skále s obličejem vedle růžového lana.	Děti běžící ve sněhu s ohradami v pozadí.	0.0
838	Usmívající se muž je oblečený v černém tričku a klobouku.	Muž zvedá malou dívku nad hlavu.	0.0
839	Černý pes s nasazeným oranžovým obojkem je zapletený v rybářském vlasci.	Černý pes s nasazeným červeným obojkem ze sebe oklepává vodu.	1.8
840	Mokrý, zlatosrstý pes nese klacek na pobřeží.	Mokrý, hnědý pes má klacek v tlamě a běží v písku kousek od vody.	3.6
841	Muž a žena jedou po ulici na kolech.	Muž a žena jedou přes křižovatku ve městě na kolech.	3.6
842	Muž a pes na kamenech na pláži.	Muž a pes na kamenném mořském břehu.	4.6
843	Dva psi si kolem hrají v blátě.	Tanečnice v červenobílých šatech pózující pro kameru.	0.0
844	Velká skupina lidí stojících venku před budovou.	Skupina lidí bruslí ve velkém městě.	2.0
845	Zlatosrstý pes běží na trávě.	Velký béžový pes běží trávou.	3.4
846	Pes běží trávou.	Pes běží přes trávu.	4.8
847	Muž v červených kraťasech nesoucí hůl jde podél kamenů u řeky.	Muž jde po kamenech kolem, kterých protéká voda.	3.4
848	Muž veslující na lodi.	Muž dělající triky na skateboardu.	0.0
849	Tři psi běžící na závodní dráze.	Tří psi krouží po závodní dráze.	4.8
850	Černohnědý pes jde sněhem nedaleko budovy.	Starší muž stojí venku před starou zabedněnou budovou.	0.8
851	Pes skáče do plaveckého bazénu za kachnou.	Pes skákající do plaveckého bazénu.	3.4
852	Pes běžící lesem v zimě.	Pes běžící skrz hodně větviček.	3.2
853	Dívka si hraje s obrázky na velké obrazovce.	Tři dívky držící deštníky jsou natočeny zády k fotoaparátu.	0.4
854	Mnoho lidí závodí v ulicích.	Štěně běžící po ulici.	1.0
855	Dva psi ve sněhu.	Dva psi si hrají v trávě.	2.4
856	Muž v pánských plavkách stojí naproti nějaké skále.	Muž v šedém tričku leze po velké skalní stěně.	1.0
857	Dva bílí psi jdoucí ve sněhu.	Žluto hnědý pes s černým obojkem štěkající ve sněhu.	2.0
858	Žena oblečená v růžovém tričku skáče do vzduchu s roztaženýma rukama a nohama.	Muž v kšandách a slunečních brýlích vyskakuje do vzduchu s roztaženýma rukama a nohama.	2.4
859	Pes běží trávou.	Dva psi běží křovím.	2.8
860	Tři psi hrající si ve sněhu.	Tři psi běží ve sněhu.	4.2
861	Pes běžící přes písek.	Pes běžící vodou.	2.8
862	Chlapec v oranžovém tričku hází míč.	Černobílý pes s náhubkem vyskakuje nad trávu.	0.2
863	Žena se pokouší jet na malé vlně.	Muž a žena sedící venku na sluníčku zády k sobě.	0.0
864	Černobílý pes plave v řece.	Černoch a jeho pes na pláži.	0.6
865	Muž stojící na vrcholu rozeklané skály poblíž oceánu.	Muž stojí na vrcholu skály s výhledem na oceán.	4.6
866	Dívka v černomodrém neoprenu surfuje.	Žena oblečená v černomodrém pruhovaném obleku surfuje na vlně.	4.4
867	Žena vede psa skrz překážkovou dráhu.	Žena vedoucí jejího malého psa skrz překážkovou dráhu.	4.6
868	Několik lidí v noci sedí okolo ohně.	Skupina lidí v noci sedí kolem planoucího ohně.	4.2
869	Dva psi běží v poli.	Dva psi běžící v poli.	5.0
870	Dva lidé jsou v posteli.	Dva boxeři jsou v ringu.	0.0
871	Dva psi na pláži.	Pes jde na pláži.	2.4
872	Mladý chlapec stojí na šedivé keramické dlažbě.	Mladý chlapec procvičující karate v tělocvičně.	1.0
873	Dva psi bojující ve sněhu.	Dva psi si hrají ve sněhu.	3.2
874	Skupina lidí je ve vodě.	Skupina lidí jede závod.	0.6
875	Pes běží s jídlem v tlamě.	Pes běží se žlutým míčem v tlamě.	2.2
876	Dva psi sbíhají po pláži.	Dva psi běžící na pláži.	4.8
877	Černobílý pes plavající v bazénu.	Černobílý pes běžící s něčím v tlamě.	2.0
878	Dva psi čuchají k něčemu v kamení.	Dva psi běžící po cestě v lese.	1.6
879	Pes, má hlavu uvnitř červenozelené dárkové tašky.	Mazlíček hravě prozkoumává obsah dárkové tašky.	3.8
880	Muž ve žlutém tričku na obličeji se zlatou sluneční maskou.	Muž ve žlutém tričku má na sobě zlatou masku ve tvaru slunce.	5.0
881	Muž na laně leze po strmé skále.	Mladý muž skáče na fialovém snowboardu.	0.4
882	Dítě s rukama na jeho hlavě.	Malý chlapec stojí s rukama na vršku jeho hlavy.	4.2
883	Muž oblečený v oranžové vestě jede na kánoi v modré vodě.	Muž v oranžové bundě v písku zvedající ruce k nebi.	1.8
884	Černý pes leží v písku.	Děti si hrají ve vodě.	0.0
885	Světlehnědý pes šťastně běží po cestě.	Bledý pes sbíhá po cestě.	3.4
886	Starý muž v černém trikotu stojící na tržišti.	Dítě na sobě s červeným tričkem jdoucí po náměstí.	1.2
887	Muž oblečený v černém oblečení, klobouku a brýlích před červenou zdí.	Žena v bílém tričku stojící před cihlovou zdí.	1.4
888	Muž učí chlapce jezdit na kole.	Ten muž učí chlapce jezdit na kole.	4.8
889	Zrzavá žena v černém pózuje pro muže, který odpočívá na stromě.	Muž v černém tričku drží dítě, které má sluneční brýle.	0.0
890	Muž lezoucí po útesu.	Muž leze po strmém útesu.	4.8
891	Dva psi aportují ve sněhu.	Dva psi si hrají ve sněhu.	4.0
892	Dvě dívky jsou v kalhotách od pyžama a vypadá to, že tancují.	Dvě dívky v kšiltovkách jí venku svačinu.	0.6
893	Bílo hnědý pes hrající si s černou hračkou.	Bílo hnědý pes se přetahuje na laně.	3.4
894	Dva černí psi skáčou ve sněhu a hrají si se žlutým tenisákem.	Hnědý a černý pes hrající si se žlutým fotbalovým míčem.	2.0
895	Dva psi si společně hrají na pláži.	Dva černí psi si hrají v trávě.	3.0
896	Chlapec hraje baseball.	Muž hraje baseball.	3.0
897	Černobílý pes skáče přes překážku.	Bílý pes běžící přes most.	2.0
898	Chlapec, který má na sobě červené tričko, běží přes trávu se zuřivým psem.	Sportovní fanoušek s pomalovaným obličejem stojí v písku.	0.0
899	Černý pes aportuje ve sněhu.	Skateboardista skákající na ulici.	0.0
900	Usmívající se muž a holčička pózující pro fotku.	Usmívající se muž drží malé dítě oblečené v růžové a červené.	3.2
901	Dva žluto hnědo bílí psi a jeden žlutohnědý pes závodí po pláži kousek od vody.	Dáma v růžové bundě se Zvonilkou stojí vedle zábradlí a sleduje vodu.	0.2
902	Pes ve sněhu skákající pro létající talíř.	Pes skáče ve sněhu.	3.2
903	Muž jede na kole po blátivé cestě.	Dva psi, běžící po blátivé cestě.	1.6
904	Hnědobílý pes s růžovým obojkem ve sněhu štěká na hnědého psa s modrým obojkem.	Pes s červeným obojkem cení zuby na psa s modrým obojkem.	3.4
905	Hnědobílý pes běží vodou.	Dva psi, běžící vodou.	4.6
906	Mladý sedící muž v klobouku si čte v kavárně.	Žena, kterou těší čtení v kavárně.	4.4
907	Černobílý pes běží trávou.	Černobílý pes běží na trávě.	4.8
908	Dva hnědí psi se navzájem koušou.	Dva hnědí psi v písku kousající se navzájem.	4.2
909	Skateboardista se pokouší udělat trik na kraji nízké zdi.	Chlapec na zábradlí dělá triky se skateboardem.	4.0
910	Mladá dívka dělající salto pozadu do vody.	Mladá dívka ve fialovém běžící vodou.	2.8
911	Snowboardista jede dolů po zábradlí vedle schodiště.	Chlapec jede na hraně skateboardu po betonové zdi.	0.8
912	Černý pes vyskakuje z vody.	Černý pes ze sebe oklepává vodu.	3.0
913	Žena a dva muži v čepicích seznamující se venku.	Mladá žena v pletené čepici stojí naproti zdi od obchodu s pizzou.	1.4
914	Malý chlapec v županu sedí na kovové židli.	Chlapec v županu sedí na židli.	4.2
915	Černý pes běží sněhem.	Černý pitbul běží blátem.	2.2
916	Skupina teenagerů tancuje na dřevěné podlaze.	Skupina lidí v tmavém oblečení tancuje v řadě na dřevěné podlaze.	3.4
917	Žena stojí s pažemi podél boků, zatímco jiná žena fotí.	Muž stojící v davu držící bílý objekt.	0.4
918	Mladý chlapec jede na kole.	Mladá dívka ležící na modré nafukovací hračce.	0.4
919	Černý pes běžící ve sněhu.	Černý pes běžící na pláži.	1.8
920	Tři psi ve sněhu u ohrady.	Dva psi pijí vodu v jezeře.	1.0
921	Dívka se dvěma černými psi běží podél břehu řeky.	Malý chlapec se mazlí s tygrem, který leží na zemi.	0.2
922	Muž lezoucí po skalní stěně.	Muž leze po skalní stěně.	4.6
923	Mladistvá dívka běžící po pláži křičí, za ní jde starší muž.	Mladé dítě běžící podél pobřeží na pláži.	1.8
924	Žena hrající tenis a trefující míček.	Žena hraje volejbal.	2.0
